Species,Site,Plot,Block,Trt,Subplot,Year,max.cover
Achillea_millefolium,HYS,27,9,chr,B,2017,1
Achillea_millefolium,KNZ,1,1,int,D,2021,1
Achillea_millefolium,HYS,18,6,chr,B,2021,4
Achillea_millefolium,HYS,27,9,chr,A,2016,0
Achillea_millefolium,HYS,13,5,chr,A,2014,0
Achillea_millefolium,HYS,23,8,chr,C,2021,0
Achillea_millefolium,KNZ,25,9,int,A,2019,0
Achillea_millefolium,HYS,13,5,chr,A,2019,1
Achillea_millefolium,HYS,1,1,chr,D,2021,0
Achillea_millefolium,KNZ,2,1,chr,C,2020,0
Achillea_millefolium,KNZ,25,9,int,A,2021,0
Achillea_millefolium,HYS,13,5,chr,C,2016,11
Achillea_millefolium,KNZ,1,1,int,C,2018,2
Achillea_millefolium,KNZ,1,1,int,C,2019,2
Achillea_millefolium,HYS,27,9,chr,B,2020,0
Achillea_millefolium,HYS,3,1,con,B,2021,1
Achillea_millefolium,HYS,1,1,chr,C,2016,2
Achillea_millefolium,HYS,1,1,chr,B,2012,1
Achillea_millefolium,HYS,1,1,chr,B,2013,3
Achillea_millefolium,HYS,1,1,chr,B,2014,2
Achillea_millefolium,HYS,1,1,chr,B,2015,4
Achillea_millefolium,HYS,5,2,chr,A,2013,0
Achillea_millefolium,HYS,5,2,chr,D,2012,1
Achillea_millefolium,HYS,5,2,chr,D,2013,1
Achillea_millefolium,HYS,28,10,chr,D,2021,1
Achillea_millefolium,HYS,1,1,chr,C,2012,1
Achillea_millefolium,HYS,3,1,con,A,2016,2
Achillea_millefolium,KNZ,1,1,int,C,2016,1
Achillea_millefolium,HYS,4,2,int,C,2017,0
Achillea_millefolium,KNZ,1,1,int,B,2017,5
Achillea_millefolium,HYS,27,9,chr,D,2021,0
Achillea_millefolium,HYS,18,6,chr,C,2021,3
Achillea_millefolium,HYS,6,2,con,B,2012,1
Achillea_millefolium,HYS,1,1,chr,D,2012,0
Achillea_millefolium,HYS,3,1,con,D,2014,0
Achillea_millefolium,KNZ,2,1,chr,A,2021,1
Achillea_millefolium,HYS,6,2,con,D,2012,7
Achillea_millefolium,KNZ,1,1,int,A,2021,0
Achillea_millefolium,HYS,1,1,chr,D,2014,0
Achillea_millefolium,HYS,16,6,int,D,2019,3
Achillea_millefolium,HYS,16,6,int,C,2020,7
Achillea_millefolium,KNZ,1,1,int,C,2020,6
Achillea_millefolium,HYS,25,9,int,C,2021,0
Achillea_millefolium,HYS,18,6,chr,A,2021,1
Achillea_millefolium,HYS,27,9,chr,A,2020,0
Achillea_millefolium,KNZ,2,1,chr,C,2015,0
Achillea_millefolium,KNZ,2,1,chr,C,2016,1
Achillea_millefolium,HYS,4,2,int,D,2017,1
Achillea_millefolium,KNZ,25,9,int,D,2019,1
Achillea_millefolium,KNZ,1,1,int,C,2013,10
Achillea_millefolium,KNZ,1,1,int,C,2014,0
Achillea_millefolium,KNZ,1,1,int,C,2017,1
Achillea_millefolium,HYS,1,1,chr,A,2013,2
Achillea_millefolium,HYS,3,1,con,D,2020,0
Achillea_millefolium,HYS,6,2,con,B,2017,0
Achillea_millefolium,KNZ,1,1,int,B,2016,3
Achillea_millefolium,HYS,3,1,con,B,2017,1
Achillea_millefolium,KNZ,1,1,int,D,2014,0
Achillea_millefolium,HYS,5,2,chr,B,2016,0
Achillea_millefolium,HYS,27,9,chr,C,2021,7
Achillea_millefolium,HYS,28,10,chr,C,2021,0
Achillea_millefolium,KNZ,1,1,int,A,2017,1
Achillea_millefolium,HYS,3,1,con,A,2015,4
Achillea_millefolium,HYS,5,2,chr,C,2017,1
Achillea_millefolium,KNZ,1,1,int,D,2017,1
Achillea_millefolium,HYS,13,5,chr,D,2021,5
Achillea_millefolium,HYS,3,1,con,B,2012,3
Achillea_millefolium,HYS,5,2,chr,D,2015,1
Achillea_millefolium,KNZ,1,1,int,A,2016,0
Achillea_millefolium,KNZ,1,1,int,B,2013,1
Achillea_millefolium,HYS,6,2,con,A,2012,1
Achillea_millefolium,HYS,5,2,chr,D,2017,0
Achillea_millefolium,HYS,1,1,chr,D,2017,0
Achillea_millefolium,HYS,6,2,con,B,2014,1
Achillea_millefolium,HYS,1,1,chr,D,2019,0
Achillea_millefolium,HYS,3,1,con,C,2021,0
Achillea_millefolium,KNZ,2,1,chr,C,2018,0
Achillea_millefolium,HYS,6,2,con,C,2018,1
Achillea_millefolium,HYS,1,1,chr,D,2013,0
Achillea_millefolium,HYS,5,2,chr,D,2014,1
Achillea_millefolium,HYS,13,5,chr,B,2016,1
Achillea_millefolium,KNZ,1,1,int,B,2018,8
Achillea_millefolium,HYS,25,9,int,B,2021,0
Achillea_millefolium,KNZ,1,1,int,B,2014,2
Achillea_millefolium,KNZ,25,9,int,D,2020,0
Achillea_millefolium,HYS,5,2,chr,C,2016,1
Achillea_millefolium,HYS,6,2,con,C,2016,1
Achillea_millefolium,KNZ,2,1,chr,A,2018,1
Achillea_millefolium,HYS,27,9,chr,C,2020,3
Achillea_millefolium,HYS,13,5,chr,C,2014,0
Achillea_millefolium,KNZ,2,1,chr,A,2013,2
Achillea_millefolium,KNZ,1,1,int,C,2015,1
Achillea_millefolium,HYS,6,2,con,D,2018,0
Achillea_millefolium,HYS,6,2,con,C,2013,5
Achillea_millefolium,KNZ,25,9,int,B,2021,1
Achillea_millefolium,HYS,3,1,con,B,2016,4
Achillea_millefolium,HYS,6,2,con,B,2013,2
Achillea_millefolium,HYS,3,1,con,B,2015,1
Achillea_millefolium,HYS,5,2,chr,C,2013,4
Achillea_millefolium,HYS,28,10,chr,A,2021,0
Achillea_millefolium,HYS,5,2,chr,C,2015,1
Achillea_millefolium,HYS,4,2,int,C,2020,0
Achillea_millefolium,HYS,15,5,con,B,2021,0
Achillea_millefolium,HYS,1,1,chr,D,2015,0
Achillea_millefolium,KNZ,25,9,int,C,2021,0
Achillea_millefolium,HYS,1,1,chr,D,2016,0
Achillea_millefolium,HYS,13,5,chr,D,2016,3
Achillea_millefolium,HYS,6,2,con,A,2013,2
Achillea_millefolium,HYS,6,2,con,A,2016,0
Achillea_millefolium,HYS,23,8,chr,A,2021,0
Achillea_millefolium,KNZ,1,1,int,A,2014,0
Achillea_millefolium,HYS,1,1,chr,C,2015,1
Achillea_millefolium,HYS,6,2,con,C,2014,1
Achillea_millefolium,HYS,5,2,chr,B,2015,0
Achillea_millefolium,HYS,4,2,int,A,2017,0
Achillea_millefolium,KNZ,1,1,int,B,2015,2
Allium_textile,CHY,19,7,int,C,2014,0
Allium_textile,CHY,6,2,int,B,2019,2
Allium_textile,CHY,8,3,con,A,2018,3
Allium_textile,CHY,28,10,int,D,2017,0
Allium_textile,CHY,3,1,con,C,2012,0
Allium_textile,CHY,1,1,int,C,2018,0
Allium_textile,CHY,24,8,int,C,2014,0
Allium_textile,CHY,12,4,con,C,2017,1
Allium_textile,CHY,26,9,con,B,2018,1
Allium_textile,CHY,15,5,chr,B,2021,1
Allium_textile,CHY,28,10,int,B,2014,1
Allium_textile,CHY,16,6,int,A,2013,0
Allium_textile,CHY,10,4,chr,A,2014,1
Allium_textile,CHY,17,6,chr,A,2019,1
Allium_textile,CHY,8,3,con,C,2014,1
Allium_textile,CHY,26,9,con,A,2014,0
Allium_textile,CHY,11,4,int,C,2014,1
Allium_textile,CHY,9,3,chr,B,2017,0
Allium_textile,CHY,13,5,int,A,2019,1
Allium_textile,CHY,28,10,int,C,2017,0
Allium_textile,CHY,1,1,int,C,2013,0
Allium_textile,CHY,1,1,int,B,2019,1
Allium_textile,CHY,24,8,int,A,2013,0
Allium_textile,CHY,1,1,int,C,2014,0
Allium_textile,CHY,10,4,chr,D,2014,1
Allium_textile,CHY,2,1,chr,A,2018,0
Allium_textile,CHY,13,5,int,A,2014,1
Allium_textile,CHY,1,1,int,D,2019,0
Allium_textile,CHY,1,1,int,D,2021,1
Allium_textile,CHY,26,9,con,B,2017,0
Allium_textile,CHY,8,3,con,B,2021,2
Allium_textile,CHY,17,6,chr,B,2013,0
Allium_textile,CHY,4,2,chr,B,2018,1
Allium_textile,CHY,9,3,chr,D,2017,1
Allium_textile,CHY,8,3,con,C,2016,0
Allium_textile,CHY,26,9,con,A,2013,0
Allium_textile,CHY,1,1,int,B,2017,0
Allium_textile,CHY,4,2,chr,B,2014,1
Allium_textile,CHY,17,6,chr,D,2021,0
Allium_textile,CHY,6,2,int,B,2021,1
Allium_textile,CHY,26,9,con,C,2021,2
Allium_textile,CHY,15,5,chr,C,2013,1
Allium_textile,CHY,18,6,con,B,2013,1
Allium_textile,CHY,12,4,con,B,2016,0
Allium_textile,CHY,10,4,chr,A,2013,0
Allium_textile,CHY,12,4,con,C,2016,1
Allium_textile,CHY,27,9,int,B,2013,0
Allium_textile,CHY,29,10,con,C,2019,0
Allium_textile,CHY,28,10,int,B,2017,1
Allium_textile,CHY,12,4,con,C,2019,4
Allium_textile,CHY,3,1,con,B,2014,3
Allium_textile,CHY,13,5,int,D,2016,0
Allium_textile,CHY,1,1,int,D,2018,0
Allium_textile,CHY,8,3,con,A,2021,1
Allium_textile,CHY,9,3,chr,B,2013,1
Allium_textile,CHY,9,3,chr,B,2016,1
Allium_textile,CHY,9,3,chr,B,2018,2
Allium_textile,CHY,16,6,int,C,2014,1
Allium_textile,CHY,21,7,con,D,2019,0
Allium_textile,CHY,28,10,int,A,2017,0
Allium_textile,CHY,13,5,int,C,2013,0
Allium_textile,CHY,4,2,chr,C,2021,1
Allium_textile,CHY,27,9,int,C,2014,0
Allium_textile,CHY,12,4,con,A,2013,0
Allium_textile,CHY,18,6,con,A,2021,0
Allium_textile,CHY,4,2,chr,A,2016,0
Allium_textile,CHY,30,10,chr,C,2013,1
Allium_textile,CHY,5,2,con,C,2013,1
Allium_textile,CHY,13,5,int,C,2017,0
Allium_textile,CHY,26,9,con,B,2019,0
Allium_textile,CHY,3,1,con,D,2012,0
Allium_textile,CHY,9,3,chr,D,2016,1
Allium_textile,CHY,2,1,chr,D,2014,0
Allium_textile,CHY,4,2,chr,B,2013,1
Allium_textile,CHY,2,1,chr,D,2021,0
Allium_textile,CHY,3,1,con,A,2013,2
Allium_textile,CHY,27,9,int,C,2019,0
Allium_textile,CHY,1,1,int,B,2014,1
Allium_textile,CHY,1,1,int,A,2021,0
Allium_textile,CHY,26,9,con,C,2019,2
Allium_textile,CHY,3,1,con,C,2017,1
Allium_textile,CHY,15,5,chr,B,2019,0
Allium_textile,CHY,13,5,int,A,2016,0
Allium_textile,CHY,26,9,con,D,2018,0
Allium_textile,CHY,6,2,int,B,2018,2
Allium_textile,CHY,13,5,int,B,2018,1
Allium_textile,CHY,11,4,int,B,2016,1
Allium_textile,CHY,8,3,con,D,2019,1
Allium_textile,CHY,15,5,chr,D,2019,1
Allium_textile,CHY,6,2,int,B,2016,0
Allium_textile,CHY,11,4,int,D,2021,1
Allium_textile,CHY,20,7,chr,D,2021,0
Allium_textile,CHY,12,4,con,C,2021,2
Allium_textile,CHY,10,4,chr,B,2019,0
Allium_textile,CHY,11,4,int,C,2018,0
Allium_textile,CHY,12,4,con,B,2014,1
Allium_textile,CHY,4,2,chr,A,2019,1
Allium_textile,CHY,13,5,int,A,2021,1
Allium_textile,CHY,27,9,int,D,2019,1
Allium_textile,CHY,1,1,int,B,2021,1
Allium_textile,CHY,8,3,con,A,2016,0
Allium_textile,CHY,16,6,int,D,2013,1
Allium_textile,CHY,10,4,chr,C,2021,1
Allium_textile,CHY,17,6,chr,C,2014,0
Allium_textile,HYS,22,8,con,A,2016,0
Allium_textile,CHY,12,4,con,A,2019,2
Allium_textile,CHY,1,1,int,D,2013,0
Allium_textile,CHY,12,4,con,D,2021,1
Allium_textile,CHY,12,4,con,B,2021,0
Allium_textile,CHY,9,3,chr,C,2019,0
Allium_textile,CHY,5,2,con,D,2013,1
Allium_textile,CHY,6,2,int,A,2013,1
Allium_textile,CHY,6,2,int,A,2016,0
Allium_textile,CHY,13,5,int,B,2014,0
Allium_textile,CHY,3,1,con,D,2013,7
Allium_textile,CHY,12,4,con,C,2018,2
Allium_textile,CHY,17,6,chr,C,2013,0
Allium_textile,CHY,1,1,int,B,2013,2
Allium_textile,CHY,15,5,chr,B,2018,1
Allium_textile,CHY,26,9,con,D,2013,1
Allium_textile,CHY,3,1,con,B,2013,3
Allium_textile,CHY,17,6,chr,D,2019,0
Allium_textile,CHY,21,7,con,A,2019,1
Allium_textile,CHY,26,9,con,D,2014,0
Allium_textile,CHY,29,10,con,A,2019,0
Allium_textile,CHY,4,2,chr,B,2016,1
Allium_textile,CHY,29,10,con,B,2019,1
Allium_textile,CHY,15,5,chr,A,2021,0
Allium_textile,CHY,6,2,int,C,2016,1
Allium_textile,CHY,9,3,chr,A,2014,1
Allium_textile,CHY,11,4,int,D,2018,1
Allium_textile,CHY,6,2,int,C,2021,0
Allium_textile,CHY,13,5,int,D,2018,0
Allium_textile,CHY,19,7,int,B,2021,0
Allium_textile,CHY,16,6,int,B,2014,1
Allium_textile,CHY,21,7,con,B,2018,1
Allium_textile,CHY,6,2,int,D,2016,0
Allium_textile,CHY,1,1,int,B,2018,2
Allium_textile,CHY,4,2,chr,C,2019,1
Allium_textile,CHY,9,3,chr,B,2021,1
Allium_textile,CHY,9,3,chr,B,2019,3
Allium_textile,CHY,18,6,con,C,2021,0
Allium_textile,CHY,4,2,chr,B,2019,2
Allium_textile,CHY,2,1,chr,A,2021,0
Allium_textile,CHY,3,1,con,C,2013,2
Allium_textile,CHY,25,9,chr,D,2019,0
Allium_textile,CHY,2,1,chr,B,2018,2
Allium_textile,CHY,9,3,chr,A,2018,3
Allium_textile,CHY,19,7,int,D,2013,1
Allium_textile,CHY,8,3,con,B,2014,1
Allium_textile,CHY,2,1,chr,C,2014,0
Allium_textile,CHY,12,4,con,C,2013,1
Allium_textile,CHY,3,1,con,A,2014,3
Allium_textile,CHY,17,6,chr,A,2021,1
Allium_textile,CHY,27,9,int,D,2021,1
Allium_textile,CHY,27,9,int,D,2013,1
Allium_textile,CHY,9,3,chr,D,2018,1
Allium_textile,CHY,8,3,con,C,2017,0
Allium_textile,CHY,12,4,con,D,2018,0
Allium_textile,CHY,8,3,con,C,2019,2
Allium_textile,CHY,16,6,int,B,2013,0
Allium_textile,HYS,22,8,con,D,2019,0
Allium_textile,CHY,20,7,chr,C,2021,0
Allium_textile,CHY,27,9,int,D,2014,1
Allium_textile,HYS,22,8,con,D,2016,0
Allium_textile,CHY,19,7,int,C,2013,0
Allium_textile,CHY,15,5,chr,D,2017,0
Allium_textile,CHY,28,10,int,A,2018,1
Allium_textile,CHY,8,3,con,D,2018,2
Allium_textile,CHY,6,2,int,C,2017,1
Allium_textile,CHY,19,7,int,B,2014,0
Allium_textile,CHY,1,1,int,A,2018,0
Allium_textile,CHY,28,10,int,C,2013,1
Allium_textile,CHY,10,4,chr,B,2018,0
Allium_textile,CHY,3,1,con,A,2019,2
Allium_textile,CHY,11,4,int,C,2016,0
Allium_textile,CHY,6,2,int,D,2013,1
Allium_textile,CHY,8,3,con,A,2013,1
Allium_textile,CHY,10,4,chr,C,2014,1
Allium_textile,CHY,9,3,chr,D,2013,1
Allium_textile,CHY,21,7,con,C,2014,0
Allium_textile,CHY,4,2,chr,D,2014,0
Allium_textile,CHY,3,1,con,B,2019,2
Allium_textile,CHY,19,7,int,A,2021,1
Allium_textile,CHY,4,2,chr,D,2018,2
Allium_textile,CHY,9,3,chr,C,2014,1
Allium_textile,CHY,12,4,con,A,2014,1
Allium_textile,CHY,9,3,chr,C,2016,1
Allium_textile,CHY,12,4,con,A,2021,2
Allium_textile,CHY,19,7,int,D,2021,0
Allium_textile,CHY,19,7,int,D,2014,0
Allium_textile,CHY,3,1,con,B,2017,2
Allium_textile,CHY,26,9,con,B,2014,0
Allium_textile,CHY,21,7,con,D,2021,1
Allium_textile,CHY,2,1,chr,D,2018,0
Allium_textile,CHY,11,4,int,B,2014,0
Allium_textile,CHY,17,6,chr,B,2021,0
Allium_textile,CHY,26,9,con,C,2014,1
Allium_textile,CHY,13,5,int,C,2014,1
Allium_textile,CHY,10,4,chr,D,2018,1
Allium_textile,CHY,3,1,con,D,2018,4
Allium_textile,CHY,15,5,chr,B,2017,0
Allium_textile,CHY,9,3,chr,A,2021,2
Allium_textile,CHY,26,9,con,B,2021,0
Allium_textile,CHY,15,5,chr,C,2014,1
Allium_textile,CHY,15,5,chr,C,2018,0
Allium_textile,CHY,13,5,int,B,2016,1
Allium_textile,CHY,6,2,int,A,2019,0
Allium_textile,CHY,13,5,int,D,2021,0
Allium_textile,CHY,28,10,int,B,2013,1
Allium_textile,CHY,15,5,chr,D,2014,1
Allium_textile,CHY,10,4,chr,A,2021,0
Allium_textile,CHY,10,4,chr,B,2016,0
Allium_textile,CHY,1,1,int,A,2019,0
Allium_textile,CHY,26,9,con,B,2013,2
Allium_textile,CHY,27,9,int,B,2021,0
Allium_textile,CHY,15,5,chr,A,2019,0
Allium_textile,CHY,6,2,int,C,2019,0
Allium_textile,CHY,4,2,chr,A,2018,1
Allium_textile,CHY,21,7,con,C,2021,0
Allium_textile,CHY,4,2,chr,A,2021,0
Allium_textile,CHY,20,7,chr,A,2014,0
Allium_textile,CHY,24,8,int,B,2013,1
Allium_textile,CHY,13,5,int,B,2021,1
Allium_textile,CHY,4,2,chr,D,2016,1
Allium_textile,CHY,1,1,int,C,2019,0
Allium_textile,CHY,5,2,con,A,2013,0
Allium_textile,CHY,3,1,con,C,2014,1
Allium_textile,CHY,1,1,int,D,2014,0
Allium_textile,CHY,1,1,int,D,2017,1
Allium_textile,CHY,5,2,con,B,2014,1
Allium_textile,CHY,11,4,int,A,2021,1
Allium_textile,CHY,11,4,int,A,2013,0
Allium_textile,CHY,12,4,con,C,2014,1
Allium_textile,CHY,11,4,int,A,2014,0
Allium_textile,CHY,15,5,chr,A,2017,1
Allium_textile,CHY,13,5,int,C,2016,0
Allium_textile,CHY,26,9,con,C,2018,1
Allium_textile,CHY,21,7,con,A,2021,0
Allium_textile,CHY,17,6,chr,C,2021,0
Allium_textile,CHY,17,6,chr,D,2014,0
Allium_textile,CHY,20,7,chr,A,2013,1
Allium_textile,CHY,28,10,int,B,2018,1
Allium_textile,HYS,22,8,con,B,2019,0
Allium_textile,CHY,16,6,int,B,2021,0
Allium_textile,HYS,22,8,con,A,2019,0
Allium_textile,HYS,22,8,con,C,2016,1
Allium_textile,CHY,11,4,int,A,2019,1
Allium_textile,CHY,6,2,int,A,2017,1
Allium_textile,CHY,15,5,chr,C,2021,0
Allium_textile,CHY,8,3,con,D,2017,0
Allium_textile,CHY,4,2,chr,B,2021,0
Allium_textile,CHY,13,5,int,D,2013,0
Allium_textile,CHY,3,1,con,A,2018,6
Allium_textile,CHY,26,9,con,A,2017,0
Allium_textile,CHY,9,3,chr,A,2017,3
Allium_textile,CHY,9,3,chr,A,2016,2
Allium_textile,CHY,4,2,chr,C,2017,0
