sitesubplot,species,year,oldSpecies,location,experiment,site,plot,subplot,subplota,abundance,unitAbund,family,duration,growth,durationDetail,growthDetail
CDR_D_2_,carex sp,1983,carex sp.,CDR,D,CDR_D,2,,2_,7.833,biomassg_m2,cyperaceae,perennial,graminoid,perennial,graminoid
CDR_D_2_,carex sp,1987,carex sp.,CDR,D,CDR_D,2,,2_,15.567,biomassg_m2,cyperaceae,perennial,graminoid,perennial,graminoid
CDR_D_2_,carex sp,1986,carex sp.,CDR,D,CDR_D,2,,2_,15.8,biomassg_m2,cyperaceae,perennial,graminoid,perennial,graminoid
CDR_D_2_,carex sp,1995,carex sp.,CDR,D,CDR_D,2,,2_,21.833,biomassg_m2,cyperaceae,perennial,graminoid,perennial,graminoid
CDR_D_2_,carex sp,1991,carex sp.,CDR,D,CDR_D,2,,2_,1.26,biomassg_m2,cyperaceae,perennial,graminoid,perennial,graminoid
CDR_D_2_,carex sp,2003,carex sp.,CDR,D,CDR_D,2,,2_,29.767,biomassg_m2,cyperaceae,perennial,graminoid,perennial,graminoid
CDR_D_2_,carex sp,2000,carex sp.,CDR,D,CDR_D,2,,2_,5.4,biomassg_m2,cyperaceae,perennial,graminoid,perennial,graminoid
CDR_D_2_,carex sp,1982,carex sp.,CDR,D,CDR_D,2,,2_,10.433,biomassg_m2,cyperaceae,perennial,graminoid,perennial,graminoid
CDR_D_2_,carex sp,1994,carex sp.,CDR,D,CDR_D,2,,2_,7.7,biomassg_m2,cyperaceae,perennial,graminoid,perennial,graminoid
CDR_D_2_,carex sp,2001,carex sp.,CDR,D,CDR_D,2,,2_,10.1,biomassg_m2,cyperaceae,perennial,graminoid,perennial,graminoid
CDR_D_2_,carex sp,1993,carex sp.,CDR,D,CDR_D,2,,2_,12.35,biomassg_m2,cyperaceae,perennial,graminoid,perennial,graminoid
CDR_D_2_,carex sp,1999,carex sp.,CDR,D,CDR_D,2,,2_,29,biomassg_m2,cyperaceae,perennial,graminoid,perennial,graminoid
CDR_D_2_,carex sp,1998,carex sp.,CDR,D,CDR_D,2,,2_,17.933,biomassg_m2,cyperaceae,perennial,graminoid,perennial,graminoid
CDR_D_2_,chenopodium album,2001,chenopodium album,CDR,D,CDR_D,2,,2_,0.027,biomassg_m2,chenopodiaceae,annual,forb/herb,annual,forb/herb
CDR_D_2_,chenopodium leptophyllum,2001,chenopodium leptophyllum,CDR,D,CDR_D,2,,2_,1.5,biomassg_m2,chenopodiaceae,annual,forb/herb,annual,forb/herb
CDR_D_2_,conyza canadensis,1992,erigeron canadensis,CDR,D,CDR_D,2,,2_,2,biomassg_m2,asteraceae,annual,forb/herb,annual/biennial,forb/herb
CDR_D_2_,cyperus schweinitzii,1985,cyperus schweinitzii,CDR,D,CDR_D,2,,2_,0.133,biomassg_m2,cyperaceae,perennial,graminoid,perennial,graminoid
CDR_D_2_,cyperus sp,1984,cyperus sp.,CDR,D,CDR_D,2,,2_,9.067,biomassg_m2,cyperaceae,,graminoid,,graminoid
CDR_D_2_,cyperus sp,1986,cyperus sp.,CDR,D,CDR_D,2,,2_,0.367,biomassg_m2,cyperaceae,,graminoid,,graminoid
CDR_D_2_,cyperus sp,1996,cyperus sp.,CDR,D,CDR_D,2,,2_,1,biomassg_m2,cyperaceae,,graminoid,,graminoid
CDR_D_2_,cyperus sp,1987,cyperus sp.,CDR,D,CDR_D,2,,2_,1.6,biomassg_m2,cyperaceae,,graminoid,,graminoid
CDR_D_2_,cyperus sp,1989,cyperus sp.,CDR,D,CDR_D,2,,2_,2.667,biomassg_m2,cyperaceae,,graminoid,,graminoid
CDR_D_2_,cyperus sp,1998,cyperus sp.,CDR,D,CDR_D,2,,2_,0.033,biomassg_m2,cyperaceae,,graminoid,,graminoid
CDR_D_2_,cyperus sp,1990,cyperus sp.,CDR,D,CDR_D,2,,2_,6.8,biomassg_m2,cyperaceae,,graminoid,,graminoid
CDR_D_2_,cyperus sp,1988,cyperus sp.,CDR,D,CDR_D,2,,2_,5.133,biomassg_m2,cyperaceae,,graminoid,,graminoid
CDR_D_2_,cyperus sp,1994,cyperus sp.,CDR,D,CDR_D,2,,2_,6.167,biomassg_m2,cyperaceae,,graminoid,,graminoid
CDR_D_2_,cyperus sp,1982,cyperus sp.,CDR,D,CDR_D,2,,2_,0.18,biomassg_m2,cyperaceae,,graminoid,,graminoid
CDR_D_2_,cyperus sp,2001,cyperus sp.,CDR,D,CDR_D,2,,2_,3.833,biomassg_m2,cyperaceae,,graminoid,,graminoid
CDR_D_2_,cyperus sp,1995,cyperus sp.,CDR,D,CDR_D,2,,2_,5.467,biomassg_m2,cyperaceae,,graminoid,,graminoid
CDR_D_2_,cyperus sp,1992,cyperus sp.,CDR,D,CDR_D,2,,2_,17.267,biomassg_m2,cyperaceae,,graminoid,,graminoid
CDR_D_2_,cyperus sp,1991,cyperus sp.,CDR,D,CDR_D,2,,2_,4.933,biomassg_m2,cyperaceae,,graminoid,,graminoid
CDR_D_2_,dichanthelium linearifolium,1988,panicum perlongum,CDR,D,CDR_D,2,,2_,0.267,biomassg_m2,poaceae,perennial,graminoid,perennial,graminoid
CDR_D_2_,dichanthelium linearifolium,1987,panicum perlongum,CDR,D,CDR_D,2,,2_,1.467,biomassg_m2,poaceae,perennial,graminoid,perennial,graminoid
CDR_D_2_,dichanthelium linearifolium,1997,panicum perlongum,CDR,D,CDR_D,2,,2_,3.367,biomassg_m2,poaceae,perennial,graminoid,perennial,graminoid
CDR_D_2_,dichanthelium linearifolium,1993,panicum perlongum,CDR,D,CDR_D,2,,2_,0.373,biomassg_m2,poaceae,perennial,graminoid,perennial,graminoid
CDR_D_2_,dichanthelium linearifolium,1986,panicum perlongum,CDR,D,CDR_D,2,,2_,7.667,biomassg_m2,poaceae,perennial,graminoid,perennial,graminoid
CDR_D_2_,dichanthelium linearifolium,1984,panicum perlongum,CDR,D,CDR_D,2,,2_,5.367,biomassg_m2,poaceae,perennial,graminoid,perennial,graminoid
CDR_D_2_,dichanthelium linearifolium,1985,panicum perlongum,CDR,D,CDR_D,2,,2_,23.267,biomassg_m2,poaceae,perennial,graminoid,perennial,graminoid
CDR_D_2_,dichanthelium linearifolium,1998,panicum perlongum,CDR,D,CDR_D,2,,2_,0.333,biomassg_m2,poaceae,perennial,graminoid,perennial,graminoid
CDR_D_2_,dichanthelium linearifolium,1996,panicum perlongum,CDR,D,CDR_D,2,,2_,0.1,biomassg_m2,poaceae,perennial,graminoid,perennial,graminoid
CDR_D_2_,dichanthelium linearifolium,1992,panicum perlongum,CDR,D,CDR_D,2,,2_,0.433,biomassg_m2,poaceae,perennial,graminoid,perennial,graminoid
CDR_D_2_,dichanthelium linearifolium,1982,panicum perlongum,CDR,D,CDR_D,2,,2_,3,biomassg_m2,poaceae,perennial,graminoid,perennial,graminoid
CDR_D_2_,dichanthelium linearifolium,1983,panicum perlongum,CDR,D,CDR_D,2,,2_,10.767,biomassg_m2,poaceae,perennial,graminoid,perennial,graminoid
CDR_D_2_,dichanthelium linearifolium,1990,panicum perlongum,CDR,D,CDR_D,2,,2_,0.793,biomassg_m2,poaceae,perennial,graminoid,perennial,graminoid
CDR_D_2_,dichanthelium linearifolium,1991,panicum perlongum,CDR,D,CDR_D,2,,2_,0.84,biomassg_m2,poaceae,perennial,graminoid,perennial,graminoid
CDR_D_2_,dichanthelium oligosanthes,1987,panicum oligosanthes,CDR,D,CDR_D,2,,2_,0.033,biomassg_m2,poaceae,perennial,graminoid,perennial,graminoid
CDR_D_2_,dichanthelium oligosanthes,1997,panicum oligosanthes,CDR,D,CDR_D,2,,2_,0.04,biomassg_m2,poaceae,perennial,graminoid,perennial,graminoid
CDR_D_2_,dichanthelium oligosanthes,1985,panicum oligosanthes,CDR,D,CDR_D,2,,2_,2.633,biomassg_m2,poaceae,perennial,graminoid,perennial,graminoid
CDR_D_2_,dichanthelium oligosanthes,1993,panicum oligosanthes,CDR,D,CDR_D,2,,2_,2.837,biomassg_m2,poaceae,perennial,graminoid,perennial,graminoid
CDR_D_2_,dichanthelium oligosanthes,1990,panicum oligosanthes,CDR,D,CDR_D,2,,2_,3.8,biomassg_m2,poaceae,perennial,graminoid,perennial,graminoid
CDR_D_2_,dichanthelium oligosanthes,1999,panicum oligosanthes,CDR,D,CDR_D,2,,2_,0.067,biomassg_m2,poaceae,perennial,graminoid,perennial,graminoid
CDR_D_2_,dichanthelium oligosanthes,1983,panicum oligosanthes,CDR,D,CDR_D,2,,2_,0.3,biomassg_m2,poaceae,perennial,graminoid,perennial,graminoid
CDR_D_2_,dichanthelium oligosanthes,1984,panicum oligosanthes,CDR,D,CDR_D,2,,2_,0.03,biomassg_m2,poaceae,perennial,graminoid,perennial,graminoid
CDR_D_2_,dichanthelium oligosanthes,1994,panicum oligosanthes,CDR,D,CDR_D,2,,2_,0.1,biomassg_m2,poaceae,perennial,graminoid,perennial,graminoid
CDR_D_2_,dichanthelium oligosanthes,2002,panicum oligosanthes,CDR,D,CDR_D,2,,2_,0.1,biomassg_m2,poaceae,perennial,graminoid,perennial,graminoid
CDR_D_2_,dichanthelium oligosanthes,1996,panicum oligosanthes,CDR,D,CDR_D,2,,2_,0.567,biomassg_m2,poaceae,perennial,graminoid,perennial,graminoid
CDR_D_2_,dichanthelium oligosanthes,1986,panicum oligosanthes,CDR,D,CDR_D,2,,2_,1.2,biomassg_m2,poaceae,perennial,graminoid,perennial,graminoid
CDR_D_2_,dichanthelium oligosanthes,2000,panicum oligosanthes,CDR,D,CDR_D,2,,2_,0.45,biomassg_m2,poaceae,perennial,graminoid,perennial,graminoid
CDR_D_2_,dichanthelium oligosanthes,1982,panicum oligosanthes,CDR,D,CDR_D,2,,2_,0.09,biomassg_m2,poaceae,perennial,graminoid,perennial,graminoid
CDR_D_2_,dichanthelium oligosanthes,1998,panicum oligosanthes,CDR,D,CDR_D,2,,2_,0.2,biomassg_m2,poaceae,perennial,graminoid,perennial,graminoid
CDR_D_2_,dichanthelium oligosanthes,1991,panicum oligosanthes,CDR,D,CDR_D,2,,2_,0.16,biomassg_m2,poaceae,perennial,graminoid,perennial,graminoid
CDR_D_2_,elymus repens,2004,agropyron repens,CDR,D,CDR_D,2,,2_,0.1667,biomassg_m2,poaceae,perennial,graminoid,perennial,graminoid
CDR_D_2_,eragrostis spectabilis,1990,eragrostis spectabilis,CDR,D,CDR_D,2,,2_,2.1,biomassg_m2,poaceae,perennial,graminoid,perennial,graminoid
CDR_D_2_,eragrostis spectabilis,2001,eragrostis spectabilis,CDR,D,CDR_D,2,,2_,1.967,biomassg_m2,poaceae,perennial,graminoid,perennial,graminoid
CDR_D_2_,eragrostis spectabilis,1989,eragrostis spectabilis,CDR,D,CDR_D,2,,2_,7.033,biomassg_m2,poaceae,perennial,graminoid,perennial,graminoid
CDR_D_2_,eragrostis spectabilis,1992,eragrostis spectabilis,CDR,D,CDR_D,2,,2_,6.767,biomassg_m2,poaceae,perennial,graminoid,perennial,graminoid
CDR_D_2_,eragrostis spectabilis,1997,eragrostis spectabilis,CDR,D,CDR_D,2,,2_,6.467,biomassg_m2,poaceae,perennial,graminoid,perennial,graminoid
CDR_D_2_,euphorbia corollata,1994,euphorbia corollata,CDR,D,CDR_D,2,,2_,3.833,biomassg_m2,euphorbiaceae,perennial,forb/herb,perennial,forb/herb
CDR_D_2_,euphorbia corollata,2004,euphorbia corollata,CDR,D,CDR_D,2,,2_,52.4,biomassg_m2,euphorbiaceae,perennial,forb/herb,perennial,forb/herb
CDR_D_2_,euphorbia corollata,1997,euphorbia corollata,CDR,D,CDR_D,2,,2_,59.4,biomassg_m2,euphorbiaceae,perennial,forb/herb,perennial,forb/herb
CDR_D_2_,euphorbia corollata,1999,euphorbia corollata,CDR,D,CDR_D,2,,2_,105.2,biomassg_m2,euphorbiaceae,perennial,forb/herb,perennial,forb/herb
CDR_D_2_,euphorbia corollata,1985,euphorbia corollata,CDR,D,CDR_D,2,,2_,3.827,biomassg_m2,euphorbiaceae,perennial,forb/herb,perennial,forb/herb
CDR_D_2_,euphorbia corollata,1995,euphorbia corollata,CDR,D,CDR_D,2,,2_,30.6,biomassg_m2,euphorbiaceae,perennial,forb/herb,perennial,forb/herb
CDR_D_2_,euphorbia corollata,1993,euphorbia corollata,CDR,D,CDR_D,2,,2_,2.077,biomassg_m2,euphorbiaceae,perennial,forb/herb,perennial,forb/herb
CDR_D_2_,euphorbia corollata,2001,euphorbia corollata,CDR,D,CDR_D,2,,2_,43.533,biomassg_m2,euphorbiaceae,perennial,forb/herb,perennial,forb/herb
CDR_D_2_,euphorbia corollata,1988,euphorbia corollata,CDR,D,CDR_D,2,,2_,6.267,biomassg_m2,euphorbiaceae,perennial,forb/herb,perennial,forb/herb
CDR_D_2_,euphorbia corollata,1982,euphorbia corollata,CDR,D,CDR_D,2,,2_,1.333,biomassg_m2,euphorbiaceae,perennial,forb/herb,perennial,forb/herb
CDR_D_2_,euphorbia corollata,1992,euphorbia corollata,CDR,D,CDR_D,2,,2_,11,biomassg_m2,euphorbiaceae,perennial,forb/herb,perennial,forb/herb
CDR_D_2_,euphorbia corollata,1986,euphorbia corollata,CDR,D,CDR_D,2,,2_,0.133,biomassg_m2,euphorbiaceae,perennial,forb/herb,perennial,forb/herb
CDR_D_2_,euphorbia corollata,1989,euphorbia corollata,CDR,D,CDR_D,2,,2_,1.167,biomassg_m2,euphorbiaceae,perennial,forb/herb,perennial,forb/herb
CDR_D_2_,euphorbia corollata,2000,euphorbia corollata,CDR,D,CDR_D,2,,2_,25.433,biomassg_m2,euphorbiaceae,perennial,forb/herb,perennial,forb/herb
CDR_D_2_,euphorbia corollata,1998,euphorbia corollata,CDR,D,CDR_D,2,,2_,0.767,biomassg_m2,euphorbiaceae,perennial,forb/herb,perennial,forb/herb
CDR_D_2_,euphorbia corollata,1996,euphorbia corollata,CDR,D,CDR_D,2,,2_,13.467,biomassg_m2,euphorbiaceae,perennial,forb/herb,perennial,forb/herb
CDR_D_2_,euphorbia corollata,1991,euphorbia corollata,CDR,D,CDR_D,2,,2_,1.523,biomassg_m2,euphorbiaceae,perennial,forb/herb,perennial,forb/herb
CDR_D_2_,euphorbia corollata,1990,euphorbia corollata,CDR,D,CDR_D,2,,2_,0.017,biomassg_m2,euphorbiaceae,perennial,forb/herb,perennial,forb/herb
CDR_D_2_,euphorbia corollata,1984,euphorbia corollata,CDR,D,CDR_D,2,,2_,34.833,biomassg_m2,euphorbiaceae,perennial,forb/herb,perennial,forb/herb
CDR_D_2_,euthamia galetorum,2004,solidago graminifolia,CDR,D,CDR_D,2,,2_,17.1,biomassg_m2,asteraceae,perennial,forb/herb,perennial,forb/herb
CDR_D_2_,euthamia galetorum,1984,solidago graminifolia,CDR,D,CDR_D,2,,2_,6.233,biomassg_m2,asteraceae,perennial,forb/herb,perennial,forb/herb
CDR_D_2_,euthamia galetorum,1998,solidago graminifolia,CDR,D,CDR_D,2,,2_,7.467,biomassg_m2,asteraceae,perennial,forb/herb,perennial,forb/herb
CDR_D_2_,euthamia galetorum,2000,solidago graminifolia,CDR,D,CDR_D,2,,2_,20.367,biomassg_m2,asteraceae,perennial,forb/herb,perennial,forb/herb
CDR_D_2_,euthamia galetorum,1985,solidago graminifolia,CDR,D,CDR_D,2,,2_,9.933,biomassg_m2,asteraceae,perennial,forb/herb,perennial,forb/herb
CDR_D_2_,euthamia galetorum,2001,solidago graminifolia,CDR,D,CDR_D,2,,2_,24.2,biomassg_m2,asteraceae,perennial,forb/herb,perennial,forb/herb
CDR_D_2_,euthamia galetorum,2002,solidago graminifolia,CDR,D,CDR_D,2,,2_,22.1,biomassg_m2,asteraceae,perennial,forb/herb,perennial,forb/herb
CDR_D_2_,euthamia galetorum,1983,solidago graminifolia,CDR,D,CDR_D,2,,2_,0.3,biomassg_m2,asteraceae,perennial,forb/herb,perennial,forb/herb
CDR_D_2_,euthamia galetorum,1999,solidago graminifolia,CDR,D,CDR_D,2,,2_,24.5,biomassg_m2,asteraceae,perennial,forb/herb,perennial,forb/herb
CDR_D_2_,euthamia galetorum,2003,solidago graminifolia,CDR,D,CDR_D,2,,2_,24.9,biomassg_m2,asteraceae,perennial,forb/herb,perennial,forb/herb
CDR_D_2_,euthamia galetorum,1987,solidago graminifolia,CDR,D,CDR_D,2,,2_,0.2,biomassg_m2,asteraceae,perennial,forb/herb,perennial,forb/herb
CDR_D_2_,fragaria virginiana,2003,fragaria virginiana,CDR,D,CDR_D,2,,2_,0.367,biomassg_m2,rosaceae,perennial,forb/herb,perennial,forb/herb
CDR_D_2_,fragaria virginiana,1998,fragaria virginiana,CDR,D,CDR_D,2,,2_,0.167,biomassg_m2,rosaceae,perennial,forb/herb,perennial,forb/herb
CDR_D_2_,helianthus giganteus,1999,helianthus giganteus,CDR,D,CDR_D,2,,2_,2.067,biomassg_m2,asteraceae,perennial,forb/herb,perennial,forb/herb
CDR_D_2_,helianthus laetiflorus,2000,helianthus laetiflorus,CDR,D,CDR_D,2,,2_,7.167,biomassg_m2,asteraceae,perennial,forb/herb,perennial,forb/herb
CDR_D_2_,helianthus laetiflorus,1993,helianthus laetiflorus,CDR,D,CDR_D,2,,2_,1.207,biomassg_m2,asteraceae,perennial,forb/herb,perennial,forb/herb
CDR_D_2_,helianthus laetiflorus,1997,helianthus laetiflorus,CDR,D,CDR_D,2,,2_,7.667,biomassg_m2,asteraceae,perennial,forb/herb,perennial,forb/herb
CDR_D_2_,helianthus laetiflorus,1985,helianthus laetiflorus,CDR,D,CDR_D,2,,2_,2,biomassg_m2,asteraceae,perennial,forb/herb,perennial,forb/herb
CDR_D_2_,helianthus laetiflorus,1994,helianthus laetiflorus,CDR,D,CDR_D,2,,2_,15.5,biomassg_m2,asteraceae,perennial,forb/herb,perennial,forb/herb
CDR_D_2_,helianthus laetiflorus,1983,helianthus laetiflorus,CDR,D,CDR_D,2,,2_,2.9,biomassg_m2,asteraceae,perennial,forb/herb,perennial,forb/herb
CDR_D_2_,helianthus laetiflorus,2002,helianthus laetiflorus,CDR,D,CDR_D,2,,2_,5.6,biomassg_m2,asteraceae,perennial,forb/herb,perennial,forb/herb
CDR_D_2_,helianthus laetiflorus,1987,helianthus laetiflorus,CDR,D,CDR_D,2,,2_,2.633,biomassg_m2,asteraceae,perennial,forb/herb,perennial,forb/herb
CDR_D_2_,helianthus laetiflorus,1996,helianthus laetiflorus,CDR,D,CDR_D,2,,2_,2.667,biomassg_m2,asteraceae,perennial,forb/herb,perennial,forb/herb
