Species,Spcode,Genus_species,Functional.group,Ps.pathway ,origin,duration,notes
Bouteloua gracilic,46,Bouteloua_gracilis,graminoid,c4,native,perennial ,
Bouteloua gracilis,46,Bouteloua_gracilis,graminoid,c4,native,perennial ,
Bouteloua Gracilis,46,Bouteloua_gracilis,graminoid,c4,native,perennial ,
Bouteloua gracillis,46,Bouteloua_gracilis,graminoid,c4,native,perennial ,
Bouteloua gracillus,46,Bouteloua_gracilis,graminoid,c4,native,perennial ,
Bouteloua_gracilis,46,Bouteloua_gracilis,graminoid,c4,native,perennial ,
Bouteloua.gracilis,46,Bouteloua_gracilis,graminoid,c4,native,perennial ,
Boutelouagracilis,46,Bouteloua_gracilis,graminoid,c4,native,perennial ,
Boutelous gracilis,46,Bouteloua_gracilis,graminoid,c4,native,perennial ,
Boutelous gracillis,46,Bouteloua_gracilis,graminoid,c4,native,perennial ,
Bouteloua_hirsuta,47,Bouteloua_hirsuta,graminoid,c4,native,perennial ,
Boutelouahersuta,47,Bouteloua_hirsuta,graminoid,c4,native,perennial ,
Boutelouahirsuta,47,Bouteloua_hirsuta,graminoid,c4,native,perennial ,
Boutelouapursuta,47,Bouteloua_hirsuta,graminoid,c4,native,perennial ,
Bromus jap.,48,Bromus_japonicus,graminoid,c3,exotic,annual,
Bromus japonicus,48,Bromus_japonicus,graminoid,c3,exotic,annual,
Bromus juponacus,48,Bromus_japonicus,graminoid,c3,exotic,annual,
Bromus_japonicus,48,Bromus_japonicus,graminoid,c3,exotic,annual,
Bromusjaponicus,48,Bromus_japonicus,graminoid,c3,exotic,annual,
Bromus tectorm,49,Bromus_tectorum,graminoid,c3,exotic,annual,
Bromus tectorum,49,Bromus_tectorum,graminoid,c3,exotic,annual,
Bromus_tectorum,49,Bromus_tectorum,graminoid,c3,exotic,annual,
Bromustectorum,49,Bromus_tectorum,graminoid,c3,exotic,annual,
CABR,50,Carex_brevior,graminoid,c3,native,perennial ,
Carex_brevior,50,Carex_brevior,graminoid,c3,native,perennial ,
Carexbrevior,50,Carex_brevior,graminoid,c3,native,perennial ,
CAHE,51,Carex_heliophila,graminoid,c3,native,perennial ,
Carex_heliophyla,51,Carex_heliophila,graminoid,c3,native,perennial ,
Carexheliophila,51,Carex_heliophila,graminoid,c3,native,perennial ,
carexneliophalu,51,Carex_heliophila,graminoid,c3,native,perennial ,
Calylophus_serrulatus,52,Calylophus_serrulatus,forb,unknown,native,perennial ,
Calylophusserrulatus,52,Calylophus_serrulatus,forb,unknown,native,perennial ,
CAME,53,Carex_meadii,graminoid,c3,native,perennial ,
Carex_meadii,53,Carex_meadii,graminoid,c3,native,perennial ,
Carexmeadii,53,Carex_meadii,graminoid,c3,native,perennial ,
Carduus nutans,54,Carduus_nutans,forb,unknown,exotic,biennial,
Carex eleocharis,55,Carex_eleocharis,graminoid,c3,native,perennial ,
Carex_eleocharis,55,Carex_eleocharis,graminoid,c3,native,perennial ,
Carexeleocharis,55,Carex_eleocharis,graminoid,c3,native,perennial ,
Carex filifolia,56,Carex_filifolia,graminoid,c3,native,perennial ,
Carexfilifolia,56,Carex_filifolia,graminoid,c3,native,perennial ,
carex gravida,57,Carex_gravida,graminoid,c3,native,perennial ,
Carex_gravida,57,Carex_gravida,graminoid,c3,native,perennial ,
Carex_gravlda,57,Carex_gravida,graminoid,c3,native,perennial ,
Carex.gravida,57,Carex_gravida,graminoid,c3,native,perennial ,
Carexgravida,57,Carex_gravida,graminoid,c3,native,perennial ,
Castillejapurpurea,58,Castilleja_purpurea,forb,unknown,native,perennial ,
Unknownforb_CHY_2018,59,unknown,forb,unknown,unknown,unknown,
cerelatenuiflorum,60,Psoralea_tenuiflora,forb,unknown,native,perennial ,
cereleateniflorum,60,Psoralea_tenuiflora,forb,unknown,native,perennial ,
colereat.,60,Psoralea_tenuiflora,forb,unknown,native,perennial ,
coreleat.,60,Psoralea_tenuiflora,forb,unknown,native,perennial ,
Psoralea_tenuiflora,60,Psoralea_tenuiflora,forb,unknown,native,perennial ,
Psoraleatenuiflora,60,Psoralea_tenuiflora,forb,unknown,native,perennial ,
Psoralidiumtenuiflorum,60,Psoralea_tenuiflora,forb,unknown,native,perennial ,
PSTE,60,Psoralea_tenuiflora,forb,unknown,native,perennial ,
Chenopodium,61,Chenopodium_sp.,forb,unknown,unknown,annual,unknown origin because some are native (c.leptophyllum) while others are extoic (c.album) but all are annuals 
Chenopodium albul,61,Chenopodium_sp.,forb,unknown,unknown,annual,
Chenopodium album,61,Chenopodium_sp.,forb,unknown,unknown,annual,
Chenopodium lept,61,Chenopodium_sp.,forb,unknown,unknown,annual,
Chenopodium lept.,61,Chenopodium_sp.,forb,unknown,unknown,annual,
Chenopodium lepto,61,Chenopodium_sp.,forb,unknown,unknown,annual,
Chenopodium leptoghyla,61,Chenopodium_sp.,forb,unknown,unknown,annual,
Chenopodium leptophillum,61,Chenopodium_sp.,forb,unknown,unknown,annual,
Chenopodium leptophyla,61,Chenopodium_sp.,forb,unknown,unknown,annual,
Chenopodium leptophyllum,61,Chenopodium_sp.,forb,unknown,unknown,annual,
Chenopodium montanus,61,Chenopodium_sp.,forb,unknown,unknown,annual,
Chenopodium sp.,61,Chenopodium_sp.,forb,unknown,unknown,annual,
Chenopodium_sp.,61,Chenopodium_sp.,forb,unknown,unknown,annual,
Chenopodiumalbum,61,Chenopodium_sp.,forb,unknown,unknown,annual,
Chenopodiumdesiccatum,61,Chenopodium_sp.,forb,unknown,unknown,annual,
Chenopodiumincanum,61,Chenopodium_sp.,forb,unknown,unknown,annual,
Chenopodiumleptophyllum,61,Chenopodium_sp.,forb,unknown,unknown,annual,
Cleonpodam loplogyla,61,Chenopodium_sp.,forb,unknown,unknown,annual,
goosefoot,61,Chenopodium_sp.,forb,unknown,unknown,annual,
Long chenopodium,61,Chenopodium_sp.,forb,unknown,unknown,annual,
Tall chenopodium,61,Chenopodium_sp.,forb,unknown,unknown,annual,
Unknown forb toothy,62,unknown,forb,unknown,unknown,annual,
Chloris_sp.,66,Chloris_sp.,graminoid,c3,native,perennial ,ask mendy which spp this likely is and how to classify 
Chlorissp.,66,Chloris_sp.,graminoid,c3,native,perennial ,ask mendy which spp this likely is and how to classify 
chlorus,66,Chloris_sp.,graminoid,c3,native,perennial ,ask mendy which spp this likely is and how to classify 
cholorus,66,Chloris_sp.,graminoid,c3,native,perennial ,ask mendy which spp this likely is and how to classify 
Circium ochochrocentrum,67,Cirsium_ochrocentrum,forb,unknown,native,biennial or perennial ,
Cirsium_ochrocentrum,67,Cirsium_ochrocentrum,forb,unknown,native,biennial or perennial ,
Cirsiumochrocentrum,67,Cirsium_ochrocentrum,forb,unknown,native,biennial or perennial ,
Cirsiumsp.,67,Cirsium_sp.,forb,unknown,native,biennial or perennial ,
Circium undulatum,68,Cirsium_undulatum,forb,unknown,native,biennial or perennial ,
Circiumundulatum,68,Cirsium_undulatum,forb,unknown,native,biennial or perennial ,
Cirsium sp,68,Cirsium_undulatum,forb,unknown,native,biennial or perennial ,
Cirsium undulatum,68,Cirsium_undulatum,forb,unknown,native,biennial or perennial ,
Cirsium_undulatum,68,Cirsium_undulatum,forb,unknown,native,biennial or perennial ,
cirsiuma unknown,68,Cirsium_undulatum,forb,unknown,native,biennial or perennial ,
Cirsiumundulatum,68,Cirsium_undulatum,forb,unknown,native,biennial or perennial ,
circiumalt,69,Cirsium_altissimum,forb,unknown,native,biennial or perennial ,
Cirsium.altissimum,69,Cirsium_altissimum,forb,unknown,native,biennial or perennial ,
cirsiumalt,69,Cirsium_altissimum,forb,unknown,native,biennial or perennial ,
Cirsium sp.,70,Cirsium_sp. ,forb,unknown,unknown,unknown,
cirsium unknown,71,Cirsium_sp.,forb,unknown,unknown,unknown,
Collomia linearis,72,Collomia_linearis,forb,unknown,native,annual,
Collomialinearis,72,Collomia_linearis,forb,unknown,native,annual,
Colomia linearis,72,Collomia_linearis,forb,unknown,native,annual,
uknown_purple_borage,72,Collomia_linearis,forb,unknown,native,annual,
unknown_purple_borage,72,Collomia_linearis,forb,unknown,native,annual,
Comandra umbellatum,73,Comandra_umbellata,forb,unknown,native,perennial ,
Comandra_umbellatum,73,Comandra_umbellata,forb,unknown,native,perennial ,
Comandraumbellata,73,Comandra_umbellata,forb,unknown,native,perennial ,
Commandra umbellatum,73,Comandra_umbellata,forb,unknown,native,perennial ,
Conyza canadensis,74,Conyza_canadensis,forb,unknown,native,annual or biennial ,
Conyza_canadensis,74,Conyza_canadensis,forb,unknown,native,annual or biennial ,
Conyzacanadensis,74,Conyza_canadensis,forb,unknown,native,annual or biennial ,
Coyza canadensis,74,Conyza_canadensis,forb,unknown,native,annual or biennial ,
Cryptantha minima,77,Cryptantha_minima,forb,unknown,native,annual or biennial ,
Cryptantha_minima,77,Cryptantha_minima,forb,unknown,native,annual or biennial ,
Cryptanthaminima,77,Cryptantha_minima,forb,unknown,native,annual or biennial ,
CYLU,78,Cyperus_lupulinus,graminoid,c3,native,perennial ,
Cyperus_lupulinus,78,Cyperus_lupulinus,graminoid,c3,native,perennial ,
Cyperuslupulinus,78,Cyperus_lupulinus,graminoid,c3,native,perennial ,
Cymopteris acaulis,79,Cymopterus_acaulis,forb,unknown,native,perennial ,
Cymopterous sp.,79,Cymopterus_acaulis,forb,unknown,native,perennial ,
Cymopterus,79,Cymopterus_acaulis,forb,unknown,native,perennial ,
Cymopterus acaulis,79,Cymopterus_acaulis,forb,unknown,native,perennial ,
Cymopterus acaulis?,79,Cymopterus_acaulis,forb,unknown,native,perennial ,
Cymopterus sp.,79,Cymopterus_acaulis,forb,unknown,native,perennial ,
Cymopterus_acaulis,79,Cymopterus_acaulis,forb,unknown,native,perennial ,
Cymopterus_glomeratus,79,Cymopterus_acaulis,forb,unknown,native,perennial ,
Cymopterusacaulis,79,Cymopterus_acaulis,forb,unknown,native,perennial ,
Cympopterous sp.,79,Cymopterus_acaulis,forb,unknown,native,perennial ,
Cymopterous montanus,81,Cymopterus_montanus,forb,unknown,native,perennial ,
Cymopterus montana,81,Cymopterus_montanus,forb,unknown,native,perennial ,
Cymopterus montanus,81,Cymopterus_montanus,forb,unknown,native,perennial ,
Cymopterus montona,81,Cymopterus_montanus,forb,unknown,native,perennial ,
Cymopterus_montanus,81,Cymopterus_montanus,forb,unknown,native,perennial ,
Cympopterous montana,81,Cymopterus_montanus,forb,unknown,native,perennial ,
Cympopterus montanus,81,Cymopterus_montanus,forb,unknown,native,perennial ,
Lymoptera montanus,81,Cymopterus_montanus,forb,unknown,native,perennial ,
Lympoterus montanus,81,Cymopterus_montanus,forb,unknown,native,perennial ,
cyperus,82,Cyperus_acuminatus,forb,unknown,native,perennial ,
Cyperus,82,Cyperus_acuminatus,forb,unknown,native,perennial ,
Cyperusacuminatus,82,Cyperus_acuminatus,forb,unknown,native,perennial ,
DACA,84,Dalea_candida,forb,unknown,native,perennial ,
Dalea_candida,84,Dalea_candida,forb,unknown,native,perennial ,
Daleacandida,84,Dalea_candida,forb,unknown,native,perennial ,
Dalea_purpurea,86,Dalea_purpuea,forb,unknown,native,perennial ,
daleamultiflora,86,Dalea_purpuea,forb,unknown,native,perennial ,
Daleapurpurea,86,Dalea_purpuea,forb,unknown,native,perennial ,
DAPU,86,Dalea_purpuea,forb,unknown,native,perennial ,
Delphinium_geyeri,87,Delphinium_geyeri,forb,unknown,native,perennial ,
Delphiniumgeyeri,87,Delphinium_geyeri,forb,unknown,native,perennial ,
DIAC,88,Dicanthelium_acuminatum,graminoid,c3,native,perennial ,
Dicanthelium_acuminatum,88,Dicanthelium_acuminatum,graminoid,c3,native,perennial ,
Dichantheliumacuminatum,88,Dicanthelium_acuminatum,graminoid,c3,native,perennial ,
Dicanthelium_oligosanthes,89,Dicanthelium_oligosanthes,graminoid,c3,native,perennial ,
Dichantheliumoligosanthes,89,Dicanthelium_oligosanthes,graminoid,c3,native,perennial ,
DIOL,89,Dicanthelium_oligosanthes,graminoid,c3,native,perennial ,
Centaurea sp. (purple),90,Dieteria_canescens,forb,unknown,native,perennial ,
Dieteria canescens,90,Dieteria_canescens,forb,unknown,native,annual or biennial or perennial,
Dieteria_canescens,90,Dieteria_canescens,forb,unknown,native,perennial ,
Dieteriacanescens,90,Dieteria_canescens,forb,unknown,native,perennial ,
UK astec,90,Dieteria_canescens,forb,unknown,native,perennial ,
UK Aster,90,Dieteria_canescens,forb,unknown,native,perennial ,
UK aster_2019,90,Dieteria_canescens,forb,unknown,native,perennial ,
UK aster_2020,90,Dieteria_canescens,forb,unknown,native,perennial ,
Unknown aster,90,Dieteria_canescens,forb,unknown,native,perennial ,
Unknown dieteria?,90,Dieteria_canescens,forb,unknown,native,perennial ,
Draba reptans,91,Draba_reptans,forb,unknown,native,annual,
Draba_reptans,91,Draba_reptans,forb,unknown,native,annual,
Drabareptans,91,Draba_reptans,forb,unknown,native,annual,
Drabasp.,92,Draba_sp.,forb,unknown,unknown,unknown,
Echinocereus viridiflora,93,Echinocereus.Escobaria,cacti,CAM,native,perennial ,
Echinocereus viridiflorus,93,Echinocereus.Escobaria,cacti,CAM,native,perennial ,
Echinocereus viriflorus,93,Echinocereus.Escobaria,cacti,CAM,native,perennial ,
Echinocereus_viridiflora,93,Echinocereus.Escobaria,cacti,CAM,native,perennial ,
Echinocereus_viridiflorus,93,Echinocereus.Escobaria,cacti,CAM,native,perennial ,
Echinocereusviridiflora,93,Echinocereus.Escobaria,cacti,CAM,native,perennial ,
Echinocereusviridiflorus,93,Echinocereus.Escobaria,cacti,CAM,native,perennial ,
echinocerus,93,Echinocereus.Escobaria,cacti,CAM,native,perennial ,
Echinocerus viriflorus,93,Echinocereus.Escobaria,cacti,CAM,native,perennial ,
Escobaria vivipara,93,Echinocereus.Escobaria,cacti,CAM,native,perennial ,
Escobaria_vivipara,93,Echinocereus.Escobaria,cacti,CAM,native,perennial ,
Escobariavivipara,93,Echinocereus.Escobaria,cacti,CAM,native,perennial ,
Eleocharis,94,Eleocharis_sp.,graminoid,c3,unknown,unknown,
Eleocharis_sp.,94,Eleocharis_sp.,graminoid,c3,unknown,unknown,
Eleocharissp.,94,Eleocharis_sp.,graminoid,c3,unknown,unknown,
Elymus elimoides,95,Elymus_elymoides,graminoid,c3,native,perennial ,
elymus elymoides,95,Elymus_elymoides,graminoid,c3,native,perennial ,
Elymus elymoides,95,Elymus_elymoides,graminoid,c3,native,perennial ,
Elymus_elymoides,95,Elymus_elymoides,graminoid,c3,native,perennial ,
Elymuselymoides,95,Elymus_elymoides,graminoid,c3,native,perennial ,
Eragrostis_spectabilis,96,Eragrostis_spectabilis,graminoid,c4,native,perennial ,
Eragrostisspectabilis,96,Eragrostis_spectabilis,graminoid,c4,native,perennial ,
ERSP,96,Eragrostis_spectabilis,graminoid,c4,native,perennial ,
Ericameria nauseosa,97,Ericameria_nauseosa,shrub,c3,native,perennial ,
Ericameria_nauseosa,97,Ericameria_nauseosa,shrub,c3,native,perennial ,
Ericamerianauseosa,97,Ericameria_nauseosa,shrub,c3,native,perennial ,
Erigeron alatum,98,Eriogonum_alatum,forb,unknown,native,perennial ,
Eriogonum alatum,98,Eriogonum_alatum,forb,unknown,native,perennial ,
Eriogonum_alatum,98,Eriogonum_alatum,forb,unknown,native,perennial ,
Eriogonumalatum,98,Eriogonum_alatum,forb,unknown,native,perennial ,
Erigeron pumilus,99,Erigeron_pumilus,forb,unknown,native,perennial ,
Erigeron_pumilus,99,Erigeron_pumilus,forb,unknown,native,perennial ,
Erigeronpumilus,99,Erigeron_pumilus,forb,unknown,native,perennial ,
Erigeron_strigas,100,Erigeron_stigosus,forb,unknown,native,annual or biennial or perennial,
Erigeron_strigosus,100,Erigeron_stigosus,forb,unknown,native,annual or biennial or perennial,
Erigeronstrigosus,100,Erigeron_stigosus,forb,unknown,native,annual or biennial or perennial,
eriogonum,103,Eriogonum_effusum,forb,unknown,native,perennial ,
Eriogonum,103,Eriogonum_effusum,forb,unknown,native,perennial ,
Eriogonum effusum,103,Eriogonum_effusum,forb,unknown,native,perennial ,
Eriogonumeffusum,103,Eriogonum_effusum,forb,unknown,native,perennial ,
Eriogonumhelichrysoides,103,Eriogonum_effusum,forb,unknown,native,perennial ,
Erogonum effusum,103,Eriogonum_effusum,forb,unknown,native,perennial ,
Eryisimum_asper,107,Eryisimum_asperum,forb,unknown,native,biennial or perennial ,
Erysimum (?) rosette,107,Eryisimum_asperum,forb,unknown,native,biennial or perennial ,
Erysimumasperum,107,Eryisimum_asperum,forb,unknown,native,biennial or perennial ,
roselte unknown,107,Eryisimum_asperum,forb,unknown,native,biennial or perennial ,
rosette unknown,107,Eryisimum_asperum,forb,unknown,native,biennial or perennial ,
Artemisia ludoviciana?,108,unknown,unknown,unknown,unknown,unknown,
EUMA,110,Euphorbia_marginata,forb,unknown,native,annual,
Euphorbia_marginata,110,Euphorbia_marginata,forb,unknown,native,annual,
Euphorbiamarginata,110,Euphorbia_marginata,forb,unknown,native,annual,
EUNU,112,Euphorbia_sp.,forb,unknown,native,annual or perennial,EUGL is only an annual
Euphorbia glyptosperma,112,Euphorbia_sp.,forb,unknown,native,annual or perennial,
Euphorbia serpens,112,Euphorbia_sp.,forb,unknown,native,annual or perennial,
Euphorbia_glyptospermia,112,Euphorbia_sp.,forb,unknown,native,annual or perennial,
Euphorbia_nutans,112,Euphorbia_sp.,forb,unknown,native,annual or perennial,
Euphorbia_serpens,112,Euphorbia_sp.,forb,unknown,native,annual or perennial,
Euphorbia_sp.,112,Euphorbia_sp.,forb,unknown,native,annual or perennial,
Euphorbia_spathulata,112,Euphorbia_sp.,forb,unknown,native,annual or perennial,
