site,year,season,date,web,transect,block,plot,subplot,quad,treatment,kartez,genus,sp.epithet,family,LifeHistory,PhotoPath,FunctionalGroup,cover,volume,biomass.BM,biomass.BIM,SiteCluster,MetStation,season.precip,GDD,SPEI.comp
EDGE_black,2012,fall,2012-10-02,NA,NA,3,28,NA,3,E,CHLA10,Chamaesyce,lata,Euphorbiaceae,perennial,C4,forb,3.25,32,5.239,5.239,FivePoints,49,93.692,4592.053,-0.971916009
EDGE_black,2012,fall,2012-10-02,NA,NA,9,2,NA,3,E,BOER4,Bouteloua,eriopoda,Poaceae,perennial,C4,grass,19.7,232.9,54.4902,54.4902,FivePoints,49,93.692,4592.053,-0.971916009
EDGE_black,2012,fall,2012-10-02,NA,NA,7,4,NA,1,C,CHLA10,Chamaesyce,lata,Euphorbiaceae,perennial,C4,forb,0.85,5.8,1.3702,1.3702,FivePoints,49,93.692,4592.053,-0.971916009
EDGE_black,2012,fall,2012-10-02,NA,NA,6,18,NA,2,C,LIPU4,Linum,puberulum,Linaceae,annual,C3,forb,1,13,0.4555,0.4555,FivePoints,49,93.692,4592.053,-0.971916009
EDGE_black,2012,fall,2012-10-02,NA,NA,7,6,NA,3,E,CHSE7,Chamaesyce,serrula,Euphorbiaceae,annual,C4,forb,0.2,0.6,0.1284,0.1284,FivePoints,49,93.692,4592.053,-0.971916009
EDGE_black,2012,fall,2012-10-02,NA,NA,1,25,NA,1,D,EUEX4,Euphorbia,exstipulata,Euphorbiaceae,annual,C3,forb,0.6,7.2,0.2733,0.2733,FivePoints,49,93.692,4592.053,-0.971916009
EDGE_black,2012,fall,2012-10-02,NA,NA,4,14,NA,2,D,MUAR2,Muhlenbergia,arenicola,Poaceae,perennial,C4,grass,3.25,24.25,6.536818317,9.59725,FivePoints,49,93.692,4592.053,-0.971916009
EDGE_black,2012,fall,2012-10-02,NA,NA,3,28,NA,3,E,MUAR2,Muhlenbergia,arenicola,Poaceae,perennial,C4,grass,0.25,1.75,0.83029311,0.73825,FivePoints,49,93.692,4592.053,-0.971916009
EDGE_black,2012,fall,2012-10-02,NA,NA,6,20,NA,2,D,EUEX4,Euphorbia,exstipulata,Euphorbiaceae,annual,C3,forb,0.4,3.2,0.1822,0.1822,FivePoints,49,93.692,4592.053,-0.971916009
EDGE_black,2012,fall,2012-10-02,NA,NA,2,21,NA,4,C,CHLA10,Chamaesyce,lata,Euphorbiaceae,perennial,C4,forb,0.5,2.5,0.806,0.806,FivePoints,49,93.692,4592.053,-0.971916009
EDGE_black,2012,fall,2012-10-02,NA,NA,10,1,NA,1,C,SPORO,Sporobolus,NA,Poaceae,perennial,C4,grass,6,136,14.766,14.766,FivePoints,49,93.692,4592.053,-0.971916009
EDGE_black,2012,fall,2012-10-02,NA,NA,1,22,NA,4,E,BOER4,Bouteloua,eriopoda,Poaceae,perennial,C4,grass,46.25,709.75,127.9275,127.9275,FivePoints,49,93.692,4592.053,-0.971916009
EDGE_black,2012,fall,2012-10-02,NA,NA,4,15,NA,4,C,BOER4,Bouteloua,eriopoda,Poaceae,perennial,C4,grass,20.75,244,57.3945,57.3945,FivePoints,49,93.692,4592.053,-0.971916009
EDGE_black,2012,fall,2012-10-02,NA,NA,1,23,NA,1,C,BOER4,Bouteloua,eriopoda,Poaceae,perennial,C4,grass,25.5,347.5,70.533,70.533,FivePoints,49,93.692,4592.053,-0.971916009
EDGE_black,2012,fall,2012-10-02,NA,NA,10,9,NA,2,D,SPORO,Sporobolus,NA,Poaceae,perennial,C4,grass,5,113,12.305,12.305,FivePoints,49,93.692,4592.053,-0.971916009
EDGE_black,2012,fall,2012-10-02,NA,NA,9,8,NA,3,D,CHLA10,Chamaesyce,lata,Euphorbiaceae,perennial,C4,forb,1,14,1.612,1.612,FivePoints,49,93.692,4592.053,-0.971916009
EDGE_black,2012,fall,2012-10-02,NA,NA,9,8,NA,2,D,SPORO,Sporobolus,NA,Poaceae,perennial,C4,grass,4,80,9.844,9.844,FivePoints,49,93.692,4592.053,-0.971916009
EDGE_black,2012,fall,2012-10-02,NA,NA,9,2,NA,4,E,BOER4,Bouteloua,eriopoda,Poaceae,perennial,C4,grass,20,268,55.32,55.32,FivePoints,49,93.692,4592.053,-0.971916009
EDGE_black,2012,fall,2012-10-02,NA,NA,2,30,NA,1,D,BOER4,Bouteloua,eriopoda,Poaceae,perennial,C4,grass,48.75,642.5,134.8425,134.8425,FivePoints,49,93.692,4592.053,-0.971916009
EDGE_black,2012,fall,2012-10-02,NA,NA,7,4,NA,1,C,BOER4,Bouteloua,eriopoda,Poaceae,perennial,C4,grass,23.6,246.5,65.2776,65.2776,FivePoints,49,93.692,4592.053,-0.971916009
EDGE_black,2012,fall,2012-10-02,NA,NA,9,2,NA,1,E,EUEX4,Euphorbia,exstipulata,Euphorbiaceae,annual,C3,forb,0.2,1.8,0.0911,0.0911,FivePoints,49,93.692,4592.053,-0.971916009
EDGE_black,2012,fall,2012-10-02,NA,NA,2,30,NA,3,D,HODR,Hoffmannseggia,drepanocarpa,Fabaceae,perennial,C3,forb,1,6,1.14,1.14,FivePoints,49,93.692,4592.053,-0.971916009
EDGE_black,2012,fall,2012-10-02,NA,NA,1,23,NA,3,C,SCBR2,Scleropogon,brevifolius,Poaceae,perennial,C4,grass,5.4,17.8,8.7127968,12.906,FivePoints,49,93.692,4592.053,-0.971916009
EDGE_black,2012,fall,2012-10-02,NA,NA,7,6,NA,4,E,MUAR2,Muhlenbergia,arenicola,Poaceae,perennial,C4,grass,0.5,3,1.234887009,1.4765,FivePoints,49,93.692,4592.053,-0.971916009
EDGE_black,2012,fall,2012-10-02,NA,NA,1,25,NA,3,D,EUEX4,Euphorbia,exstipulata,Euphorbiaceae,annual,C3,forb,0.2,1.8,0.0911,0.0911,FivePoints,49,93.692,4592.053,-0.971916009
EDGE_black,2012,fall,2012-10-02,NA,NA,3,29,NA,2,D,BOER4,Bouteloua,eriopoda,Poaceae,perennial,C4,grass,38.5,580,106.491,106.491,FivePoints,49,93.692,4592.053,-0.971916009
EDGE_black,2012,fall,2012-10-02,NA,NA,6,20,NA,4,D,BOER4,Bouteloua,eriopoda,Poaceae,perennial,C4,grass,35.75,544,98.8845,98.8845,FivePoints,49,93.692,4592.053,-0.971916009
EDGE_black,2012,fall,2012-10-02,NA,NA,8,12,NA,4,D,SCBR2,Scleropogon,brevifolius,Poaceae,perennial,C4,grass,1.48,8.58,2.1339454,3.5372,FivePoints,49,93.692,4592.053,-0.971916009
EDGE_black,2012,fall,2012-10-02,NA,NA,5,13,NA,4,D,CHSE7,Chamaesyce,serrula,Euphorbiaceae,annual,C4,forb,0.1,0.2,0.0642,0.0642,FivePoints,49,93.692,4592.053,-0.971916009
EDGE_black,2012,fall,2012-10-02,NA,NA,10,9,NA,3,D,CHSE7,Chamaesyce,serrula,Euphorbiaceae,annual,C4,forb,1.9,4.2,1.2198,1.2198,FivePoints,49,93.692,4592.053,-0.971916009
EDGE_black,2012,fall,2012-10-02,NA,NA,8,12,NA,4,D,EUEX4,Euphorbia,exstipulata,Euphorbiaceae,annual,C3,forb,0.8,5.6,0.3644,0.3644,FivePoints,49,93.692,4592.053,-0.971916009
EDGE_black,2012,fall,2012-10-02,NA,NA,7,6,NA,4,E,SPORO,Sporobolus,NA,Poaceae,perennial,C4,grass,2,42,4.922,4.922,FivePoints,49,93.692,4592.053,-0.971916009
EDGE_black,2012,fall,2012-10-02,NA,NA,1,25,NA,4,D,BOER4,Bouteloua,eriopoda,Poaceae,perennial,C4,grass,28.75,452,79.5225,79.5225,FivePoints,49,93.692,4592.053,-0.971916009
EDGE_black,2012,fall,2012-10-02,NA,NA,2,30,NA,3,D,BOER4,Bouteloua,eriopoda,Poaceae,perennial,C4,grass,32,459,88.512,88.512,FivePoints,49,93.692,4592.053,-0.971916009
EDGE_black,2012,fall,2012-10-02,NA,NA,5,17,NA,3,C,BOER4,Bouteloua,eriopoda,Poaceae,perennial,C4,grass,30.75,499,85.0545,85.0545,FivePoints,49,93.692,4592.053,-0.971916009
EDGE_black,2012,fall,2012-10-02,NA,NA,8,12,NA,1,D,SPORO,Sporobolus,NA,Poaceae,perennial,C4,grass,0.5,6.5,1.2305,1.2305,FivePoints,49,93.692,4592.053,-0.971916009
EDGE_black,2012,fall,2012-10-02,NA,NA,2,30,NA,1,D,CHSE7,Chamaesyce,serrula,Euphorbiaceae,annual,C4,forb,0.3,1.5,0.1926,0.1926,FivePoints,49,93.692,4592.053,-0.971916009
EDGE_black,2012,fall,2012-10-02,NA,NA,3,27,NA,1,C,EUEX4,Euphorbia,exstipulata,Euphorbiaceae,annual,C3,forb,0.8,8.7,0.3644,0.3644,FivePoints,49,93.692,4592.053,-0.971916009
EDGE_black,2012,fall,2012-10-02,NA,NA,6,20,NA,3,D,BOER4,Bouteloua,eriopoda,Poaceae,perennial,C4,grass,40.75,548.5,112.7145,112.7145,FivePoints,49,93.692,4592.053,-0.971916009
EDGE_black,2012,fall,2012-10-02,NA,NA,1,23,NA,3,C,MUAR2,Muhlenbergia,arenicola,Poaceae,perennial,C4,grass,0.75,7.5,1.639480908,2.21475,FivePoints,49,93.692,4592.053,-0.971916009
EDGE_black,2012,fall,2012-10-02,NA,NA,10,9,NA,4,D,BOER4,Bouteloua,eriopoda,Poaceae,perennial,C4,grass,32.5,372,89.895,89.895,FivePoints,49,93.692,4592.053,-0.971916009
EDGE_black,2012,fall,2012-10-02,NA,NA,2,26,NA,4,E,BOER4,Bouteloua,eriopoda,Poaceae,perennial,C4,grass,40.75,597.75,112.7145,112.7145,FivePoints,49,93.692,4592.053,-0.971916009
EDGE_black,2012,fall,2012-10-02,NA,NA,9,11,NA,2,C,BOER4,Bouteloua,eriopoda,Poaceae,perennial,C4,grass,46,684,127.236,127.236,FivePoints,49,93.692,4592.053,-0.971916009
EDGE_black,2012,fall,2012-10-02,NA,NA,6,19,NA,2,E,CHSE7,Chamaesyce,serrula,Euphorbiaceae,annual,C4,forb,0.2,1.4,0.1284,0.1284,FivePoints,49,93.692,4592.053,-0.971916009
EDGE_black,2012,fall,2012-10-02,NA,NA,1,22,NA,1,E,SPORO,Sporobolus,NA,Poaceae,perennial,C4,grass,2,54,4.922,4.922,FivePoints,49,93.692,4592.053,-0.971916009
EDGE_black,2012,fall,2012-10-02,NA,NA,10,9,NA,1,D,BOER4,Bouteloua,eriopoda,Poaceae,perennial,C4,grass,28,299,77.448,77.448,FivePoints,49,93.692,4592.053,-0.971916009
EDGE_black,2012,fall,2012-10-02,NA,NA,1,25,NA,3,D,BOER4,Bouteloua,eriopoda,Poaceae,perennial,C4,grass,32,566,88.512,88.512,FivePoints,49,93.692,4592.053,-0.971916009
EDGE_black,2012,fall,2012-10-02,NA,NA,7,6,NA,4,E,BOER4,Bouteloua,eriopoda,Poaceae,perennial,C4,grass,28,284.5,77.448,77.448,FivePoints,49,93.692,4592.053,-0.971916009
EDGE_black,2012,fall,2012-10-02,NA,NA,6,20,NA,4,D,EUEX4,Euphorbia,exstipulata,Euphorbiaceae,annual,C3,forb,0.6,8.1,0.2733,0.2733,FivePoints,49,93.692,4592.053,-0.971916009
EDGE_black,2012,fall,2012-10-02,NA,NA,5,17,NA,1,C,HODR,Hoffmannseggia,drepanocarpa,Fabaceae,perennial,C3,forb,1.5,18,1.71,1.71,FivePoints,49,93.692,4592.053,-0.971916009
EDGE_black,2012,fall,2012-10-02,NA,NA,5,13,NA,3,D,HODR,Hoffmannseggia,drepanocarpa,Fabaceae,perennial,C3,forb,0.35,1.55,0.399,0.399,FivePoints,49,93.692,4592.053,-0.971916009
EDGE_black,2012,fall,2012-10-02,NA,NA,5,16,NA,2,E,GUSA2,Gutierrezia,sarothrae,Asteraceae,perennial,C3,shrub,0.75,9,2.169,2.169,FivePoints,49,93.692,4592.053,-0.971916009
EDGE_black,2012,fall,2012-10-02,NA,NA,1,23,NA,4,C,EUEX4,Euphorbia,exstipulata,Euphorbiaceae,annual,C3,forb,2.55,28.85,1.161525,1.161525,FivePoints,49,93.692,4592.053,-0.971916009
EDGE_black,2012,fall,2012-10-02,NA,NA,8,7,NA,2,C,EUEX4,Euphorbia,exstipulata,Euphorbiaceae,annual,C3,forb,0.4,3.2,0.1822,0.1822,FivePoints,49,93.692,4592.053,-0.971916009
EDGE_black,2012,fall,2012-10-02,NA,NA,2,30,NA,4,D,LEFE,Lesquerella,fendleri,Brassicaceae,perennial,C3,forb,0.1,0.5,0.4201,0.4201,FivePoints,49,93.692,4592.053,-0.971916009
EDGE_black,2012,fall,2012-10-02,NA,NA,9,8,NA,4,D,HODR,Hoffmannseggia,drepanocarpa,Fabaceae,perennial,C3,forb,0.1,0.3,0.114,0.114,FivePoints,49,93.692,4592.053,-0.971916009
EDGE_black,2012,fall,2012-10-02,NA,NA,7,5,NA,3,D,BOER4,Bouteloua,eriopoda,Poaceae,perennial,C4,grass,18,219,49.788,49.788,FivePoints,49,93.692,4592.053,-0.971916009
EDGE_black,2012,fall,2012-10-02,NA,NA,5,16,NA,2,E,SPORO,Sporobolus,NA,Poaceae,perennial,C4,grass,0.75,22.5,1.84575,1.84575,FivePoints,49,93.692,4592.053,-0.971916009
EDGE_black,2012,fall,2012-10-02,NA,NA,3,27,NA,2,C,BOER4,Bouteloua,eriopoda,Poaceae,perennial,C4,grass,38,526,105.108,105.108,FivePoints,49,93.692,4592.053,-0.971916009
EDGE_black,2012,fall,2012-10-02,NA,NA,6,18,NA,4,C,EUEX4,Euphorbia,exstipulata,Euphorbiaceae,annual,C3,forb,0.25,1.75,0.113875,0.113875,FivePoints,49,93.692,4592.053,-0.971916009
EDGE_black,2012,fall,2012-10-02,NA,NA,8,7,NA,4,C,EUEX4,Euphorbia,exstipulata,Euphorbiaceae,annual,C3,forb,0.75,7.25,0.341625,0.341625,FivePoints,49,93.692,4592.053,-0.971916009
EDGE_black,2012,fall,2012-10-02,NA,NA,10,10,NA,4,E,BOER4,Bouteloua,eriopoda,Poaceae,perennial,C4,grass,33,450,91.278,91.278,FivePoints,49,93.692,4592.053,-0.971916009
EDGE_black,2012,fall,2012-10-02,NA,NA,9,11,NA,3,C,HODR,Hoffmannseggia,drepanocarpa,Fabaceae,perennial,C3,forb,1,9,1.14,1.14,FivePoints,49,93.692,4592.053,-0.971916009
EDGE_black,2012,fall,2012-10-02,NA,NA,9,8,NA,2,D,BOER4,Bouteloua,eriopoda,Poaceae,perennial,C4,grass,21,182.5,58.086,58.086,FivePoints,49,93.692,4592.053,-0.971916009
EDGE_black,2012,fall,2012-10-02,NA,NA,7,5,NA,3,D,CHSE7,Chamaesyce,serrula,Euphorbiaceae,annual,C4,forb,0.7,1.4,0.4494,0.4494,FivePoints,49,93.692,4592.053,-0.971916009
EDGE_black,2012,fall,2012-10-02,NA,NA,7,5,NA,1,D,EUEX4,Euphorbia,exstipulata,Euphorbiaceae,annual,C3,forb,0.6,3.9,0.2733,0.2733,FivePoints,49,93.692,4592.053,-0.971916009
EDGE_black,2012,fall,2012-10-02,NA,NA,9,2,NA,3,E,ZIGR,Zinnia,grandiflora,Asteraceae,perennial,C3,shrub,0.25,3.25,0.728,0.728,FivePoints,49,93.692,4592.053,-0.971916009
EDGE_black,2012,fall,2012-10-02,NA,NA,3,28,NA,2,E,ASTRA,Astragalus,NA,Fabaceae,perennial,C3,forb,0.1,0.5,0.1175,0.1175,FivePoints,49,93.692,4592.053,-0.971916009
EDGE_black,2012,fall,2012-10-02,NA,NA,4,24,NA,1,E,CHSE7,Chamaesyce,serrula,Euphorbiaceae,annual,C4,forb,0.1,0.3,0.0642,0.0642,FivePoints,49,93.692,4592.053,-0.971916009
EDGE_black,2012,fall,2012-10-02,NA,NA,5,17,NA,1,C,EUEX4,Euphorbia,exstipulata,Euphorbiaceae,annual,C3,forb,0.3,2.4,0.13665,0.13665,FivePoints,49,93.692,4592.053,-0.971916009
EDGE_black,2012,fall,2012-10-02,NA,NA,4,14,NA,1,D,HODR,Hoffmannseggia,drepanocarpa,Fabaceae,perennial,C3,forb,1,12,1.14,1.14,FivePoints,49,93.692,4592.053,-0.971916009
EDGE_black,2012,fall,2012-10-02,NA,NA,1,22,NA,2,E,ASTRA,Astragalus,NA,Fabaceae,perennial,C3,forb,0.5,4.5,0.5875,0.5875,FivePoints,49,93.692,4592.053,-0.971916009
EDGE_black,2012,fall,2012-10-02,NA,NA,8,12,NA,1,D,HODR,Hoffmannseggia,drepanocarpa,Fabaceae,perennial,C3,forb,0.5,3.5,0.57,0.57,FivePoints,49,93.692,4592.053,-0.971916009
EDGE_black,2012,fall,2012-10-02,NA,NA,10,10,NA,3,E,BOER4,Bouteloua,eriopoda,Poaceae,perennial,C4,grass,22.75,279.25,62.9265,62.9265,FivePoints,49,93.692,4592.053,-0.971916009
EDGE_black,2012,fall,2012-10-02,NA,NA,3,28,NA,4,E,BOER4,Bouteloua,eriopoda,Poaceae,perennial,C4,grass,20.75,308,57.3945,57.3945,FivePoints,49,93.692,4592.053,-0.971916009
EDGE_black,2012,fall,2012-10-02,NA,NA,3,28,NA,1,E,BOER4,Bouteloua,eriopoda,Poaceae,perennial,C4,grass,32.25,380.5,89.2035,89.2035,FivePoints,49,93.692,4592.053,-0.971916009
EDGE_black,2012,fall,2012-10-02,NA,NA,5,16,NA,4,E,PLJA,Pleuraphis,jamesii,Poaceae,perennial,C4,grass,3,48,5.503010502,5.721,FivePoints,49,93.692,4592.053,-0.971916009
EDGE_black,2012,fall,2012-10-02,NA,NA,8,3,NA,3,E,BOER4,Bouteloua,eriopoda,Poaceae,perennial,C4,grass,30,308,82.98,82.98,FivePoints,49,93.692,4592.053,-0.971916009
EDGE_black,2012,fall,2012-10-02,NA,NA,1,25,NA,2,D,BOER4,Bouteloua,eriopoda,Poaceae,perennial,C4,grass,33.5,436,92.661,92.661,FivePoints,49,93.692,4592.053,-0.971916009
EDGE_black,2012,fall,2012-10-02,NA,NA,5,13,NA,3,D,EUEX4,Euphorbia,exstipulata,Euphorbiaceae,annual,C3,forb,1.05,12.3,0.478275,0.478275,FivePoints,49,93.692,4592.053,-0.971916009
EDGE_black,2012,fall,2012-10-02,NA,NA,10,10,NA,4,E,EUEX4,Euphorbia,exstipulata,Euphorbiaceae,annual,C3,forb,1.8,19.05,0.8199,0.8199,FivePoints,49,93.692,4592.053,-0.971916009
EDGE_black,2012,fall,2012-10-02,NA,NA,7,4,NA,4,C,BOER4,Bouteloua,eriopoda,Poaceae,perennial,C4,grass,18.75,210.25,51.8625,51.8625,FivePoints,49,93.692,4592.053,-0.971916009
EDGE_black,2012,fall,2012-10-02,NA,NA,8,7,NA,1,C,SPORO,Sporobolus,NA,Poaceae,perennial,C4,grass,5,90,12.305,12.305,FivePoints,49,93.692,4592.053,-0.971916009
EDGE_black,2012,fall,2012-10-02,NA,NA,9,8,NA,3,D,HODR,Hoffmannseggia,drepanocarpa,Fabaceae,perennial,C3,forb,0.75,8.25,0.855,0.855,FivePoints,49,93.692,4592.053,-0.971916009
EDGE_black,2012,fall,2012-10-02,NA,NA,5,13,NA,1,D,EUEX4,Euphorbia,exstipulata,Euphorbiaceae,annual,C3,forb,0.55,5,0.250525,0.250525,FivePoints,49,93.692,4592.053,-0.971916009
EDGE_black,2012,fall,2012-10-02,NA,NA,8,3,NA,3,E,EUEX4,Euphorbia,exstipulata,Euphorbiaceae,annual,C3,forb,0.55,4.9,0.250525,0.250525,FivePoints,49,93.692,4592.053,-0.971916009
EDGE_black,2012,fall,2012-10-02,NA,NA,2,30,NA,2,D,BOER4,Bouteloua,eriopoda,Poaceae,perennial,C4,grass,26,334,71.916,71.916,FivePoints,49,93.692,4592.053,-0.971916009
EDGE_black,2012,fall,2012-10-02,NA,NA,8,12,NA,3,D,ASTRA,Astragalus,NA,Fabaceae,perennial,C3,forb,0.25,1.25,0.29375,0.29375,FivePoints,49,93.692,4592.053,-0.971916009
EDGE_black,2012,fall,2012-10-02,NA,NA,8,7,NA,3,C,BOER4,Bouteloua,eriopoda,Poaceae,perennial,C4,grass,25.5,288,70.533,70.533,FivePoints,49,93.692,4592.053,-0.971916009
EDGE_black,2012,fall,2012-10-02,NA,NA,7,6,NA,3,E,CHLA10,Chamaesyce,lata,Euphorbiaceae,perennial,C4,forb,0.75,7.5,1.209,1.209,FivePoints,49,93.692,4592.053,-0.971916009
EDGE_black,2012,fall,2012-10-02,NA,NA,10,9,NA,2,D,BOER4,Bouteloua,eriopoda,Poaceae,perennial,C4,grass,24.25,382,67.0755,67.0755,FivePoints,49,93.692,4592.053,-0.971916009
EDGE_black,2012,fall,2012-10-02,NA,NA,1,25,NA,1,D,BOER4,Bouteloua,eriopoda,Poaceae,perennial,C4,grass,34.75,490.75,96.1185,96.1185,FivePoints,49,93.692,4592.053,-0.971916009
EDGE_black,2012,fall,2012-10-02,NA,NA,10,9,NA,4,D,CHLA10,Chamaesyce,lata,Euphorbiaceae,perennial,C4,forb,3.01,19.01,4.85212,4.85212,FivePoints,49,93.692,4592.053,-0.971916009
EDGE_black,2012,fall,2012-10-02,NA,NA,1,25,NA,4,D,SPORO,Sporobolus,NA,Poaceae,perennial,C4,grass,4,160,9.844,9.844,FivePoints,49,93.692,4592.053,-0.971916009
EDGE_black,2012,fall,2012-10-02,NA,NA,8,7,NA,4,C,BOER4,Bouteloua,eriopoda,Poaceae,perennial,C4,grass,30,388,82.98,82.98,FivePoints,49,93.692,4592.053,-0.971916009
EDGE_black,2012,fall,2012-10-02,NA,NA,9,8,NA,4,D,EUEX4,Euphorbia,exstipulata,Euphorbiaceae,annual,C3,forb,0.6,6.6,0.2733,0.2733,FivePoints,49,93.692,4592.053,-0.971916009
EDGE_black,2012,fall,2012-10-02,NA,NA,5,16,NA,3,E,BOER4,Bouteloua,eriopoda,Poaceae,perennial,C4,grass,42,691,116.172,116.172,FivePoints,49,93.692,4592.053,-0.971916009
EDGE_black,2012,fall,2012-10-02,NA,NA,9,11,NA,4,C,EUEX4,Euphorbia,exstipulata,Euphorbiaceae,annual,C3,forb,0.4,4.2,0.1822,0.1822,FivePoints,49,93.692,4592.053,-0.971916009
EDGE_black,2012,fall,2012-10-02,NA,NA,9,2,NA,2,E,CHAL11,Chamaesyce,albomarginata,Euphorbiaceae,perennial,C4,forb,1.1,7.3,1.2364,1.2364,FivePoints,49,93.692,4592.053,-0.971916009
EDGE_black,2012,fall,2012-10-02,NA,NA,3,27,NA,3,C,BOER4,Bouteloua,eriopoda,Poaceae,perennial,C4,grass,30.75,547,85.0545,85.0545,FivePoints,49,93.692,4592.053,-0.971916009
EDGE_black,2012,fall,2012-10-02,NA,NA,3,29,NA,4,D,BOER4,Bouteloua,eriopoda,Poaceae,perennial,C4,grass,33.5,528.5,92.661,92.661,FivePoints,49,93.692,4592.053,-0.971916009
EDGE_black,2012,fall,2012-10-02,NA,NA,3,29,NA,3,D,EUEX4,Euphorbia,exstipulata,Euphorbiaceae,annual,C3,forb,0.3,2.4,0.13665,0.13665,FivePoints,49,93.692,4592.053,-0.971916009
