"Spcode","Species","Site","Plot","Block","Trt","Year","avg.cover"
2,"Achillea_millefolium","HYS",3,1,"con",2012,1
2,"Achillea_millefolium","HYS",27,9,"chr",2017,0.5
2,"Achillea_millefolium","HYS",4,2,"int",2020,0.5
2,"Achillea_millefolium","HYS",1,1,"chr",2014,1
2,"Achillea_millefolium","HYS",1,1,"chr",2015,1.5
2,"Achillea_millefolium","HYS",5,2,"chr",2013,1.25
2,"Achillea_millefolium","KNZ",2,1,"chr",2016,0.25
2,"Achillea_millefolium","HYS",3,1,"con",2017,0.25
2,"Achillea_millefolium","HYS",23,8,"chr",2021,0.25
2,"Achillea_millefolium","KNZ",2,1,"chr",2021,0.5
2,"Achillea_millefolium","HYS",13,5,"chr",2019,0.5
2,"Achillea_millefolium","HYS",18,6,"chr",2021,2.5
2,"Achillea_millefolium","HYS",6,2,"con",2016,0.25
2,"Achillea_millefolium","HYS",6,2,"con",2014,1.5
2,"Achillea_millefolium","HYS",27,9,"chr",2021,1.75
2,"Achillea_millefolium","KNZ",25,9,"int",2021,0.25
2,"Achillea_millefolium","KNZ",1,1,"int",2019,2
2,"Achillea_millefolium","KNZ",1,1,"int",2016,1.25
2,"Achillea_millefolium","KNZ",2,1,"chr",2014,0.5
2,"Achillea_millefolium","HYS",27,9,"chr",2020,0.75
2,"Achillea_millefolium","KNZ",25,9,"int",2019,0.25
2,"Achillea_millefolium","KNZ",25,9,"int",2020,0.25
3,"Allium_textile","CHY",16,6,"int",2021,0.25
3,"Allium_textile","CHY",21,7,"con",2021,0.25
3,"Allium_textile","CHY",10,4,"chr",2018,1
3,"Allium_textile","CHY",5,2,"con",2014,0.25
3,"Allium_textile","CHY",12,4,"con",2013,0.25
3,"Allium_textile","CHY",1,1,"int",2021,0.75
3,"Allium_textile","CHY",15,5,"chr",2017,0.25
3,"Allium_textile","CHY",25,9,"chr",2019,0.25
3,"Allium_textile","CHY",27,9,"int",2016,0.25
3,"Allium_textile","CHY",15,5,"chr",2013,0.75
3,"Allium_textile","CHY",24,8,"int",2013,0.25
3,"Allium_textile","CHY",8,3,"con",2013,0.75
3,"Allium_textile","CHY",7,3,"int",2014,0.5
3,"Allium_textile","CHY",6,2,"int",2016,0.25
3,"Allium_textile","CHY",27,9,"int",2014,0.5
3,"Allium_textile","CHY",11,4,"int",2014,0.5
3,"Allium_textile","CHY",5,2,"con",2013,0.75
3,"Allium_textile","CHY",1,1,"int",2018,0.5
3,"Allium_textile","CHY",20,7,"chr",2021,0.5
3,"Allium_textile","CHY",11,4,"int",2021,1
3,"Allium_textile","CHY",8,3,"con",2021,1.75
3,"Allium_textile","CHY",3,1,"con",2019,2
3,"Allium_textile","CHY",6,2,"int",2021,0.25
3,"Allium_textile","CHY",12,4,"con",2014,1
3,"Allium_textile","HYS",22,8,"con",2016,0.25
3,"Allium_textile","CHY",1,1,"int",2014,0.25
3,"Allium_textile","CHY",4,2,"chr",2014,0.5
3,"Allium_textile","CHY",30,10,"chr",2013,0.5
3,"Allium_textile","CHY",13,5,"int",2018,0.25
3,"Allium_textile","CHY",12,4,"con",2021,1.25
3,"Allium_textile","CHY",21,7,"con",2018,0.5
3,"Allium_textile","CHY",28,10,"int",2014,0.5
3,"Allium_textile","CHY",28,10,"int",2017,0.25
3,"Allium_textile","CHY",8,3,"con",2017,2.5
3,"Allium_textile","CHY",21,7,"con",2014,0.5
3,"Allium_textile","CHY",4,2,"chr",2018,1.25
3,"Allium_textile","CHY",12,4,"con",2016,0.5
3,"Allium_textile","CHY",3,1,"con",2018,3.75
3,"Allium_textile","CHY",2,1,"chr",2013,0.25
3,"Allium_textile","CHY",1,1,"int",2017,0.5
3,"Allium_textile","CHY",13,5,"int",2016,0.25
3,"Allium_textile","CHY",6,2,"int",2019,0.75
3,"Allium_textile","CHY",15,5,"chr",2014,0.5
3,"Allium_textile","CHY",17,6,"chr",2013,0.25
3,"Allium_textile","CHY",15,5,"chr",2021,0.25
3,"Allium_textile","CHY",15,5,"chr",2019,0.25
3,"Allium_textile","CHY",12,4,"con",2019,2
3,"Allium_textile","CHY",26,9,"con",2014,0.25
3,"Allium_textile","CHY",13,5,"int",2013,0.25
3,"Allium_textile","CHY",26,9,"con",2017,0.25
3,"Allium_textile","CHY",19,7,"int",2021,0.25
3,"Allium_textile","CHY",4,2,"chr",2013,0.75
3,"Allium_textile","CHY",26,9,"con",2021,0.5
3,"Allium_textile","CHY",3,1,"con",2012,0.25
3,"Allium_textile","CHY",18,6,"con",2013,0.25
3,"Allium_textile","CHY",13,5,"int",2017,0.25
3,"Allium_textile","CHY",21,7,"con",2019,0.75
3,"Allium_textile","CHY",6,2,"int",2013,1.25
3,"Allium_textile","CHY",13,5,"int",2019,0.25
3,"Allium_textile","CHY",3,1,"con",2021,3.5
3,"Allium_textile","CHY",26,9,"con",2018,0.5
3,"Allium_textile","CHY",16,6,"int",2014,0.75
3,"Allium_textile","CHY",16,6,"int",2013,0.5
3,"Allium_textile","CHY",3,1,"con",2013,3.5
3,"Allium_textile","CHY",10,4,"chr",2019,0.25
3,"Allium_textile","CHY",3,1,"con",2014,2.25
3,"Allium_textile","CHY",3,1,"con",2017,1.25
3,"Allium_textile","CHY",30,10,"chr",2018,0.25
3,"Allium_textile","CHY",11,4,"int",2016,0.5
3,"Allium_textile","CHY",26,9,"con",2019,0.5
3,"Allium_textile","CHY",15,5,"chr",2018,0.5
3,"Allium_textile","CHY",3,1,"con",2016,2.25
3,"Allium_textile","CHY",1,1,"int",2019,0.25
3,"Allium_textile","CHY",10,4,"chr",2013,0.75
3,"Allium_textile","CHY",17,6,"chr",2014,0.25
3,"Allium_textile","CHY",12,4,"con",2017,0.75
3,"Allium_textile","CHY",27,9,"int",2021,0.25
3,"Allium_textile","CHY",2,1,"chr",2018,0.5
3,"Allium_textile","CHY",9,3,"chr",2014,0.75
3,"Allium_textile","CHY",18,6,"con",2016,0.25
3,"Allium_textile","CHY",17,6,"chr",2019,0.25
3,"Allium_textile","CHY",8,3,"con",2019,1.75
3,"Allium_textile","CHY",9,3,"chr",2018,1.75
3,"Allium_textile","CHY",18,6,"con",2021,0.25
3,"Allium_textile","CHY",11,4,"int",2013,0.75
3,"Allium_textile","CHY",9,3,"chr",2019,1.5
3,"Allium_textile","CHY",6,2,"int",2017,0.5
3,"Allium_textile","CHY",8,3,"con",2016,0.25
3,"Allium_textile","CHY",1,1,"int",2013,0.5
3,"Allium_textile","CHY",10,4,"chr",2014,1
3,"Allium_textile","CHY",11,4,"int",2018,0.5
3,"Allium_textile","CHY",13,5,"int",2021,0.5
3,"Allium_textile","CHY",2,1,"chr",2014,0.25
3,"Allium_textile","CHY",20,7,"chr",2013,1
3,"Allium_textile","CHY",29,10,"con",2019,0.25
3,"Allium_textile","CHY",19,7,"int",2013,0.5
3,"Allium_textile","CHY",19,7,"int",2014,0.25
3,"Allium_textile","CHY",27,9,"int",2013,0.25
3,"Allium_textile","CHY",9,3,"chr",2017,1.25
3,"Allium_textile","CHY",28,10,"int",2013,1
3,"Allium_textile","CHY",27,9,"int",2019,0.5
3,"Allium_textile","HYS",22,8,"con",2019,0.5
3,"Allium_textile","CHY",10,4,"chr",2016,0.5
3,"Allium_textile","CHY",12,4,"con",2018,1.5
3,"Allium_textile","CHY",9,3,"chr",2016,1.25
3,"Allium_textile","CHY",13,5,"int",2014,0.5
3,"Allium_textile","CHY",17,6,"chr",2021,0.25
3,"Allium_textile","CHY",4,2,"chr",2021,1
3,"Allium_textile","CHY",4,2,"chr",2017,0.5
3,"Allium_textile","CHY",9,3,"chr",2013,1.25
3,"Allium_textile","CHY",9,3,"chr",2021,1.25
3,"Allium_textile","CHY",26,9,"con",2013,1.25
3,"Allium_textile","CHY",11,4,"int",2019,0.25
3,"Allium_textile","CHY",4,2,"chr",2016,0.5
3,"Allium_textile","CHY",6,2,"int",2018,1.25
3,"Allium_textile","CHY",20,7,"chr",2014,0.25
3,"Allium_textile","CHY",8,3,"con",2018,2
3,"Allium_textile","CHY",8,3,"con",2014,0.75
3,"Allium_textile","CHY",2,1,"chr",2021,0.25
3,"Allium_textile","CHY",10,4,"chr",2021,1
3,"Allium_textile","CHY",28,10,"int",2018,0.75
3,"Allium_textile","CHY",24,8,"int",2014,0.25
3,"Allium_textile","CHY",4,2,"chr",2019,1
4,"Amaranthus_sp. ","KNZ",2,1,"chr",2018,0.25
5,"Ambrosia_psilostachya","KNZ",23,8,"con",2014,0.25
5,"Ambrosia_psilostachya","KNZ",5,2,"int",2017,4
5,"Ambrosia_psilostachya","HYS",8,3,"chr",2018,1.25
5,"Ambrosia_psilostachya","HYS",8,3,"chr",2019,0.75
5,"Ambrosia_psilostachya","KNZ",9,3,"con",2018,5.25
5,"Ambrosia_psilostachya","KNZ",5,2,"int",2015,5.25
5,"Ambrosia_psilostachya","HYS",1,1,"chr",2020,12.25
5,"Ambrosia_psilostachya","KNZ",6,2,"chr",2018,3.75
5,"Ambrosia_psilostachya","HYS",13,5,"chr",2015,5.25
5,"Ambrosia_psilostachya","KNZ",6,2,"chr",2021,18.25
5,"Ambrosia_psilostachya","KNZ",1,1,"int",2021,27.75
5,"Ambrosia_psilostachya","KNZ",9,3,"con",2019,4
5,"Ambrosia_psilostachya","HYS",6,2,"con",2019,0.25
5,"Ambrosia_psilostachya","KNZ",22,8,"int",2018,44
5,"Ambrosia_psilostachya","KNZ",15,5,"int",2019,10.75
5,"Ambrosia_psilostachya","KNZ",11,4,"int",2017,3
5,"Ambrosia_psilostachya","HYS",24,8,"int",2015,0.75
5,"Ambrosia_psilostachya","KNZ",26,9,"chr",2019,9
5,"Ambrosia_psilostachya","HYS",8,3,"chr",2014,9.5
5,"Ambrosia_psilostachya","KNZ",7,3,"chr",2016,4.25
5,"Ambrosia_psilostachya","KNZ",27,9,"con",2017,0.5
5,"Ambrosia_psilostachya","KNZ",6,2,"chr",2019,8.25
5,"Ambrosia_psilostachya","HYS",1,1,"chr",2018,17.25
5,"Ambrosia_psilostachya","KNZ",6,2,"chr",2016,1.5
5,"Ambrosia_psilostachya","HYS",8,3,"chr",2016,1.75
5,"Ambrosia_psilostachya","HYS",21,7,"chr",2012,0.25
5,"Ambrosia_psilostachya","HYS",27,9,"chr",2017,19.75
5,"Ambrosia_psilostachya","HYS",22,8,"con",2018,22.5
5,"Ambrosia_psilostachya","HYS",8,3,"chr",2017,0.75
5,"Ambrosia_psilostachya","KNZ",29,10,"int",2020,45
5,"Ambrosia_psilostachya","HYS",21,7,"chr",2013,2
5,"Ambrosia_psilostachya","HYS",6,2,"con",2017,0.5
5,"Ambrosia_psilostachya","KNZ",2,1,"chr",2018,2.75
5,"Ambrosia_psilostachya","KNZ",27,9,"con",2015,0.25
5,"Ambrosia_psilostachya","HYS",12,4,"chr",2019,0.5
5,"Ambrosia_psilostachya","HYS",13,5,"chr",2012,0.25
5,"Ambrosia_psilostachya","KNZ",4,2,"con",2014,1.5
5,"Ambrosia_psilostachya","KNZ",8,3,"int",2021,7.75
5,"Ambrosia_psilostachya","KNZ",16,6,"con",2017,3.25
5,"Ambrosia_psilostachya","HYS",27,9,"chr",2018,43
5,"Ambrosia_psilostachya","HYS",5,2,"chr",2013,7.5
5,"Ambrosia_psilostachya","KNZ",21,7,"int",2018,12.75
5,"Ambrosia_psilostachya","KNZ",15,5,"int",2021,18.75
5,"Ambrosia_psilostachya","KNZ",27,9,"con",2016,1.25
5,"Ambrosia_psilostachya","KNZ",16,6,"con",2014,0.5
5,"Ambrosia_psilostachya","HYS",10,4,"con",2017,2.5
5,"Ambrosia_psilostachya","KNZ",7,3,"chr",2021,15
5,"Ambrosia_psilostachya","HYS",12,4,"chr",2016,3.5
5,"Ambrosia_psilostachya","HYS",1,1,"chr",2017,5
5,"Ambrosia_psilostachya","HYS",19,7,"int",2017,11.75
5,"Ambrosia_psilostachya","KNZ",1,1,"int",2016,4
5,"Ambrosia_psilostachya","HYS",8,3,"chr",2020,1.5
5,"Ambrosia_psilostachya","HYS",12,4,"chr",2018,0.25
5,"Ambrosia_psilostachya","KNZ",1,1,"int",2018,14
5,"Ambrosia_psilostachya","KNZ",26,9,"chr",2014,7
5,"Ambrosia_psilostachya","HYS",5,2,"chr",2014,5.25
5,"Ambrosia_psilostachya","HYS",30,10,"int",2020,34.25
5,"Ambrosia_psilostachya","HYS",23,8,"chr",2015,15.75
5,"Ambrosia_psilostachya","KNZ",17,6,"chr",2021,4.25
5,"Ambrosia_psilostachya","HYS",17,6,"con",2016,11.25
5,"Ambrosia_psilostachya","KNZ",8,3,"int",2016,1.75
5,"Ambrosia_psilostachya","KNZ",1,1,"int",2015,4.75
5,"Ambrosia_psilostachya","HYS",16,6,"int",2018,6.25
5,"Ambrosia_psilostachya","HYS",5,2,"chr",2019,0.25
5,"Ambrosia_psilostachya","KNZ",4,2,"con",2018,2.25
5,"Ambrosia_psilostachya","KNZ",13,5,"chr",2019,6
5,"Ambrosia_psilostachya","HYS",9,3,"int",2014,5.25
5,"Ambrosia_psilostachya","HYS",27,9,"chr",2019,38.5
5,"Ambrosia_psilostachya","KNZ",28,10,"chr",2014,4.5
5,"Ambrosia_psilostachya","KNZ",26,9,"chr",2017,9.5
5,"Ambrosia_psilostachya","HYS",29,10,"con",2016,20.25
5,"Ambrosia_psilostachya","KNZ",26,9,"chr",2021,5.5
5,"Ambrosia_psilostachya","HYS",30,10,"int",2014,11.25
5,"Ambrosia_psilostachya","HYS",1,1,"chr",2016,18.75
5,"Ambrosia_psilostachya","KNZ",9,3,"con",2021,16.25
5,"Ambrosia_psilostachya","HYS",21,7,"chr",2021,4.75
5,"Ambrosia_psilostachya","KNZ",8,3,"int",2013,1.75
5,"Ambrosia_psilostachya","HYS",1,1,"chr",2015,12.5
5,"Ambrosia_psilostachya","HYS",12,4,"chr",2017,1
5,"Ambrosia_psilostachya","HYS",24,8,"int",2018,6.25
5,"Ambrosia_psilostachya","HYS",9,3,"int",2013,0.75
5,"Ambrosia_psilostachya","HYS",18,6,"chr",2020,24
5,"Ambrosia_psilostachya","HYS",2,1,"int",2018,36
5,"Ambrosia_psilostachya","KNZ",20,7,"chr",2013,0.75
5,"Ambrosia_psilostachya","HYS",4,2,"int",2012,0.5
5,"Ambrosia_psilostachya","KNZ",18,6,"int",2019,12
5,"Ambrosia_psilostachya","KNZ",20,7,"chr",2018,12.25
5,"Ambrosia_psilostachya","HYS",4,2,"int",2017,4.75
5,"Ambrosia_psilostachya","KNZ",14,5,"con",2017,5.5
5,"Ambrosia_psilostachya","HYS",30,10,"int",2017,24.5
5,"Ambrosia_psilostachya","KNZ",8,3,"int",2015,10.5
5,"Ambrosia_psilostachya","KNZ",3,1,"con",2016,8.75
5,"Ambrosia_psilostachya","HYS",24,8,"int",2014,0.75
5,"Ambrosia_psilostachya","KNZ",6,2,"chr",2017,3
5,"Ambrosia_psilostachya","KNZ",22,8,"int",2016,8
5,"Ambrosia_psilostachya","HYS",17,6,"con",2017,5.5
5,"Ambrosia_psilostachya","HYS",22,8,"con",2017,39.25
5,"Ambrosia_psilostachya","KNZ",30,10,"con",2016,3.75
5,"Ambrosia_psilostachya","KNZ",22,8,"int",2017,13
5,"Ambrosia_psilostachya","HYS",29,10,"con",2020,14.25
5,"Ambrosia_psilostachya","HYS",20,7,"con",2017,4.75
5,"Ambrosia_psilostachya","KNZ",29,10,"int",2018,6.25
5,"Ambrosia_psilostachya","HYS",28,10,"chr",2013,1.5
5,"Ambrosia_psilostachya","HYS",20,7,"con",2021,0.25
5,"Ambrosia_psilostachya","KNZ",3,1,"con",2015,11.75
5,"Ambrosia_psilostachya","HYS",3,1,"con",2015,27.5
5,"Ambrosia_psilostachya","KNZ",10,4,"chr",2016,3
5,"Ambrosia_psilostachya","HYS",5,2,"chr",2012,1.5
5,"Ambrosia_psilostachya","KNZ",4,2,"con",2017,1.75
5,"Ambrosia_psilostachya","HYS",2,1,"int",2019,9.75
5,"Ambrosia_psilostachya","HYS",22,8,"con",2014,0.5
5,"Ambrosia_psilostachya","KNZ",13,5,"chr",2016,0.75
5,"Ambrosia_psilostachya","KNZ",29,10,"int",2015,15.5
5,"Ambrosia_psilostachya","KNZ",12,4,"con",2016,10.75
5,"Ambrosia_psilostachya","KNZ",28,10,"chr",2013,1
5,"Ambrosia_psilostachya","KNZ",27,9,"con",2021,14
5,"Ambrosia_psilostachya","HYS",27,9,"chr",2013,3
5,"Ambrosia_psilostachya","KNZ",4,2,"con",2015,6.5
5,"Ambrosia_psilostachya","HYS",18,6,"chr",2016,10.25
5,"Ambrosia_psilostachya","KNZ",28,10,"chr",2017,1.75
5,"Ambrosia_psilostachya","HYS",7,3,"con",2021,0.25
5,"Ambrosia_psilostachya","HYS",4,2,"int",2021,1.75
5,"Ambrosia_psilostachya","HYS",7,3,"con",2014,1.75
5,"Ambrosia_psilostachya","HYS",22,8,"con",2012,0.25
5,"Ambrosia_psilostachya","HYS",13,5,"chr",2019,20.25
5,"Ambrosia_psilostachya","KNZ",29,10,"int",2021,4.25
5,"Ambrosia_psilostachya","KNZ",26,9,"chr",2015,6.5
5,"Ambrosia_psilostachya","KNZ",12,4,"con",2021,34.75
5,"Ambrosia_psilostachya","KNZ",29,10,"int",2017,3.5
5,"Ambrosia_psilostachya","HYS",15,5,"con",2020,60
5,"Ambrosia_psilostachya","KNZ",28,10,"chr",2015,6.75
5,"Ambrosia_psilostachya","HYS",22,8,"con",2015,4.75
5,"Ambrosia_psilostachya","HYS",18,6,"chr",2015,2.25
5,"Ambrosia_psilostachya","HYS",9,3,"int",2017,3
5,"Ambrosia_psilostachya","KNZ",2,1,"chr",2015,15
5,"Ambrosia_psilostachya","HYS",12,4,"chr",2012,0.25
5,"Ambrosia_psilostachya","HYS",10,4,"con",2014,10
5,"Ambrosia_psilostachya","HYS",22,8,"con",2019,17.75
5,"Ambrosia_psilostachya","KNZ",15,5,"int",2017,0.25
5,"Ambrosia_psilostachya","HYS",21,7,"chr",2018,1.75
5,"Ambrosia_psilostachya","HYS",21,7,"chr",2015,0.5
5,"Ambrosia_psilostachya","HYS",23,8,"chr",2018,38.25
5,"Ambrosia_psilostachya","HYS",11,4,"int",2017,4.5
5,"Ambrosia_psilostachya","KNZ",14,5,"con",2019,6.5
5,"Ambrosia_psilostachya","HYS",3,1,"con",2021,2
5,"Ambrosia_psilostachya","HYS",4,2,"int",2018,11
5,"Ambrosia_psilostachya","KNZ",15,5,"int",2013,0.25
5,"Ambrosia_psilostachya","KNZ",23,8,"con",2018,1.5
5,"Ambrosia_psilostachya","HYS",5,2,"chr",2015,7
5,"Ambrosia_psilostachya","KNZ",28,10,"chr",2020,23.25
5,"Ambrosia_psilostachya","HYS",23,8,"chr",2017,30.25
5,"Ambrosia_psilostachya","KNZ",28,10,"chr",2021,6.5
5,"Ambrosia_psilostachya","HYS",4,2,"int",2013,6.25
5,"Ambrosia_psilostachya","KNZ",3,1,"con",2013,36
5,"Ambrosia_psilostachya","HYS",28,10,"chr",2017,2.25
5,"Ambrosia_psilostachya","HYS",14,5,"int",2019,28.25
5,"Ambrosia_psilostachya","KNZ",30,10,"con",2017,2.75
5,"Ambrosia_psilostachya","KNZ",8,3,"int",2017,1.75
5,"Ambrosia_psilostachya","KNZ",30,10,"con",2018,5
5,"Ambrosia_psilostachya","KNZ",8,3,"int",2018,4
5,"Ambrosia_psilostachya","KNZ",15,5,"int",2014,0.75
5,"Ambrosia_psilostachya","HYS",4,2,"int",2020,13.75
5,"Ambrosia_psilostachya","HYS",20,7,"con",2020,0.25
5,"Ambrosia_psilostachya","HYS",9,3,"int",2012,0.5
5,"Ambrosia_psilostachya","HYS",8,3,"chr",2021,1
5,"Ambrosia_psilostachya","HYS",26,9,"con",2018,12
5,"Ambrosia_psilostachya","KNZ",25,9,"int",2017,0.5
5,"Ambrosia_psilostachya","KNZ",24,8,"chr",2019,7.75
5,"Ambrosia_psilostachya","HYS",12,4,"chr",2013,0.75
5,"Ambrosia_psilostachya","HYS",30,10,"int",2016,27.75
5,"Ambrosia_psilostachya","KNZ",10,4,"chr",2020,9.5
5,"Ambrosia_psilostachya","KNZ",6,2,"chr",2015,4.25
5,"Ambrosia_psilostachya","HYS",9,3,"int",2016,15.5
5,"Ambrosia_psilostachya","KNZ",4,2,"con",2020,34.25
5,"Ambrosia_psilostachya","HYS",10,4,"con",2013,0.75
5,"Ambrosia_psilostachya","HYS",11,4,"int",2019,0.75
5,"Ambrosia_psilostachya","KNZ",13,5,"chr",2013,0.5
5,"Ambrosia_psilostachya","HYS",18,6,"chr",2018,23.5
5,"Ambrosia_psilostachya","HYS",20,7,"con",2019,1.25
5,"Ambrosia_psilostachya","HYS",13,5,"chr",2016,2.75
5,"Ambrosia_psilostachya","HYS",29,10,"con",2019,6
5,"Ambrosia_psilostachya","HYS",9,3,"int",2015,17.75
5,"Ambrosia_psilostachya","KNZ",16,6,"con",2016,1.75
5,"Ambrosia_psilostachya","HYS",25,9,"int",2018,6.75
5,"Ambrosia_psilostachya","HYS",15,5,"con",2014,2.5
5,"Ambrosia_psilostachya","HYS",18,6,"chr",2014,0.5
5,"Ambrosia_psilostachya","HYS",28,10,"chr",2021,1
5,"Ambrosia_psilostachya","HYS",3,1,"con",2014,7.75
5,"Ambrosia_psilostachya","HYS",29,10,"con",2014,3.25
5,"Ambrosia_psilostachya","HYS",2,1,"int",2017,10
5,"Ambrosia_psilostachya","KNZ",17,6,"chr",2020,9
5,"Ambrosia_psilostachya","KNZ",13,5,"chr",2021,12.25
5,"Ambrosia_psilostachya","HYS",10,4,"con",2018,0.5
5,"Ambrosia_psilostachya","HYS",29,10,"con",2015,6.75
5,"Ambrosia_psilostachya","HYS",1,1,"chr",2013,5
5,"Ambrosia_psilostachya","KNZ",23,8,"con",2019,7.5
5,"Ambrosia_psilostachya","KNZ",10,4,"chr",2017,2.25
5,"Ambrosia_psilostachya","KNZ",14,5,"con",2014,4
5,"Ambrosia_psilostachya","HYS",1,1,"chr",2014,7.75
5,"Ambrosia_psilostachya","KNZ",14,5,"con",2013,1
5,"Ambrosia_psilostachya","HYS",18,6,"chr",2017,21.75
5,"Ambrosia_psilostachya","KNZ",6,2,"chr",2013,1.75
5,"Ambrosia_psilostachya","KNZ",11,4,"int",2013,0.25
5,"Ambrosia_psilostachya","HYS",1,1,"chr",2021,4
5,"Ambrosia_psilostachya","KNZ",5,2,"int",2014,9.25
5,"Ambrosia_psilostachya","HYS",27,9,"chr",2020,48
5,"Ambrosia_psilostachya","HYS",22,8,"con",2020,38
5,"Ambrosia_psilostachya","KNZ",20,7,"chr",2014,2.25
5,"Ambrosia_psilostachya","KNZ",5,2,"int",2016,4.5
5,"Ambrosia_psilostachya","KNZ",16,6,"con",2018,2.25
5,"Ambrosia_psilostachya","KNZ",5,2,"int",2019,19.5
5,"Ambrosia_psilostachya","HYS",17,6,"con",2015,7.75
5,"Ambrosia_psilostachya","HYS",6,2,"con",2012,0.5
5,"Ambrosia_psilostachya","HYS",21,7,"chr",2019,19
5,"Ambrosia_psilostachya","KNZ",28,10,"chr",2018,7.25
5,"Ambrosia_psilostachya","HYS",15,5,"con",2021,0.5
5,"Ambrosia_psilostachya","KNZ",4,2,"con",2016,4.5
5,"Ambrosia_psilostachya","KNZ",1,1,"int",2020,27.5
5,"Ambrosia_psilostachya","KNZ",19,7,"con",2020,25.75
5,"Ambrosia_psilostachya","KNZ",11,4,"int",2014,0.5
5,"Ambrosia_psilostachya","HYS",3,1,"con",2013,0.5
5,"Ambrosia_psilostachya","KNZ",20,7,"chr",2015,5.75
5,"Ambrosia_psilostachya","KNZ",13,5,"chr",2020,34
5,"Ambrosia_psilostachya","KNZ",22,8,"int",2021,26.25
5,"Ambrosia_psilostachya","HYS",20,7,"con",2016,8.25
5,"Ambrosia_psilostachya","HYS",26,9,"con",2016,10
5,"Ambrosia_psilostachya","KNZ",12,4,"con",2020,68.75
5,"Ambrosia_psilostachya","KNZ",29,10,"int",2019,24.5
5,"Ambrosia_psilostachya","KNZ",16,6,"con",2019,1.75
5,"Ambrosia_psilostachya","KNZ",16,6,"con",2020,15
5,"Ambrosia_psilostachya","HYS",5,2,"chr",2016,2.25
5,"Ambrosia_psilostachya","KNZ",19,7,"con",2019,5.5
5,"Ambrosia_psilostachya","KNZ",23,8,"con",2017,0.75
5,"Ambrosia_psilostachya","HYS",2,1,"int",2016,7.75
5,"Ambrosia_psilostachya","KNZ",2,1,"chr",2016,17.25
5,"Ambrosia_psilostachya","HYS",9,3,"int",2021,0.5
5,"Ambrosia_psilostachya","HYS",14,5,"int",2020,17.75
5,"Ambrosia_psilostachya","HYS",4,2,"int",2015,5.75
5,"Ambrosia_psilostachya","HYS",6,2,"con",2014,17.75
5,"Ambrosia_psilostachya","HYS",9,3,"int",2020,0.5
